Name,BirthDate,Age,Sex,Equipment,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Event,Tested,Place
Lindsay Seamans,,34,F,Single-ply,F-OF-SP-T,51.44,52,125,140,145,,145,62.5,-65,-65,,62.5,135,140,145,,145,352.5,SBD,Yes,1
Anna Cullum,,27,F,Raw,F-OF-R-T,59.69,60,95,100,110,,110,47.5,52.5,55,,55,102.5,112.5,120,,120,285,SBD,Yes,1
Leslie Kutner,,29,F,Raw,F-OF-R-T,65.5,67.5,120,127.5,137.5,,137.5,72.5,77.5,82.5,,82.5,150,160,167.5,172.5,167.5,387.5,SBD,Yes,1
Gabby Robbins,,29,F,Raw,F-OF-R-T,80.56,82.5,125,132.5,142.5,,142.5,82.5,87.5,92.5,,92.5,157.5,172.5,180,,180,415,SBD,Yes,2
Vann Duffie,,30,M,Raw,M-OF-R-T,77.11,82.5,185,195,205,,205,127.5,132.5,137.5,,137.5,227.5,247.5,260,,260,602.5,SBD,Yes,1
Gabby Robbins,,29,F,Raw,F-MPFF-R-X,80.56,82.5,125,132.5,142.5,,142.5,82.5,87.5,92.5,,92.5,157.5,172.5,180,,180,415,SBD,Yes,1
Cathy Cranford,,59,F,Wraps,F-M4F-RC-X,79.79,82.5,65,67.5,70,75,70,40,-42.5,42.5,,42.5,85,87.5,92.5,97.5,92.5,205,SBD,Yes,1
Travis Johnson,,19,M,Raw,M-T3F-R-X,45.31,52,80,-87.5,87.5,,87.5,52.5,-57.5,-57.5,,52.5,107.5,112.5,117.5,-122.5,117.5,257.5,SBD,Yes,1
Nathan Taylor,,19,M,Raw,M-T3F-R-X,73.75,75,135,142.5,147.5,,147.5,102.5,110,115,,115,137.5,150,157.5,,157.5,420,SBD,Yes,2
Wyatt Plyler,,18,M,Raw,M-T3F-R-X,72.85,75,137.5,145,150,,150,85,90,-92.5,,90,170,177.5,180,,180,420,SBD,Yes,1
Justin Williams #1,,26,M,Wraps,M-OF-RC-T,83.32,90,245,-260,260,,260,150,160,-165,,160,250,-262.5,-262.5,,250,670,SBD,Yes,1
Zachary Leonardo,,31,M,Wraps,M-OF-RC-T,123.79,125,250,272.5,295,,295,160,172.5,182.5,,182.5,250,295,317.5,,317.5,795,SBD,Yes,1
Joshua Sisk,,20,M,Raw,M-OF-R-T,66.77,67.5,162.5,170,182.5,,182.5,97.5,102.5,,,102.5,205,217.5,-227.5,,217.5,502.5,SBD,Yes,1
Pauley Singh,,30,M,Wraps,M-NF-RC-X,96.16,100,202.5,215,227.5,,227.5,125,132.5,137.5,,137.5,227.5,240,-250,,240,605,SBD,Yes,2
Edwin Byler,,20,M,Wraps,M-NF-RC-X,94.57,100,217.5,240,-250,,240,127.5,140,-150,,140,255,265,-275,,265,645,SBD,Yes,1
