Place,Name,BirthDate,Sex,BirthYear,Age,Country,State,Equipment,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event
1,Kelly Terrell,,F,1979,43,,FL,Single-ply,F-M1,65.35,69,87.5,92.5,97.5,97.5,42.5,47.5,-52.5,47.5,120,122.5,125,125,270,SBD
1,Victoria Hattabaugh,,F,2001,21,,FL,Raw,FR-Jr,67,69,82.5,85,92.5,92.5,47.5,50,-55,50,92.5,95,-97.5,95,237.5,SBD
1,Joanna Eisele,,F,1973,48,,FL,Raw,FR-M1,78.42,84,97.5,105,107.5,107.5,62.5,67.5,-75,67.5,112.5,120,125,125,300,SBD
2,Kali Trautman,,F,1982,39,,FL,Raw,FR-M1,80.66,84,90,95,100,100,57.5,-60,60,60,122.5,130,137.5,137.5,297.5,SBD
3,Carissa Maples,,F,1978,44,,FL,Raw,FR-M1,83.95,84,105,107.5,115,115,52.5,55,60,60,102.5,110,117.5,117.5,292.5,SBD
DQ,Lori Reinhardt,,F,1981,40,,FL,Raw,FR-M1,,84+,,,,,,,,,,,,,,SBD
1,Coreen Ellrodt,,F,1963,58,,FL,Raw,FR-M2,73.73,76,70,75,80,80,40,42.5,45,45,85,87.5,92.5,92.5,217.5,SBD
1,Cris Coniglio,,F,1969,53,,FL,Raw,FR-M2,92.28,84+,70,75,82.5,82.5,52.5,55,-60,55,85,87.5,92.5,92.5,230,SBD
1,Katrina Chuah,,F,1996,25,,FL,Raw,FR-O,61.04,63,110,120,-125,120,60,65,67.5,67.5,125,132.5,140,140,327.5,SBD
1,Sarah Ouellette,,F,1991,31,,FL,Raw,FR-O,117.71,84+,125,135,140,140,62.5,65,70,70,132.5,142.5,152.5,152.5,362.5,SBD
2,Jenna Rall,,F,1992,29,,FL,Raw,FR-O,128.11,84+,82.5,87.5,92.5,92.5,62.5,65,70,70,107.5,112.5,122.5,122.5,285,SBD
3,June Moore,,F,1989,32,,FL,Raw,FR-O,97.54,84+,85,92.5,97.5,97.5,57.5,60,62.5,62.5,97.5,107.5,115,115,275,SBD
1,Matthew Otero,,M,1979,43,,,Raw,MR-M1,92.97,93,230,245,-255,245,135,145,150,150,247.5,262.5,-267.5,262.5,657.5,SBD
DQ,Darren Nemow,,M,1973,48,,FL,Raw,MR-M1,,93,,,,,,,,,,,,,,SBD
1,Juan Marin,,M,1982,39,,FL,Raw,MR-M1,95.06,105,130,137.5,147.5,147.5,90,97.5,105,105,127.5,135,142.5,142.5,395,SBD
1,Michael Jean Sr,,M,1979,43,,FL,Raw,MR-M1,179.4,120+,192.5,200,225,225,160,165,-182.5,165,205,215,225,225,615,SBD
DQ,Dale Filipowicz,,M,1970,51,,FL,Raw,MR-M2,,83,,,,,,,,,,,,,,SBD
DQ,Jason Pearson #1,,M,1971,51,,FL,Raw,MR-M2,108.9,120,,,,,130,132.5,-137.5,132.5,210,220,227.5,227.5,,SBD
1,Phil Madsen,,M,1954,67,,FL,Raw,MR-M3,72.76,74,97.5,102.5,-107.5,102.5,67.5,-72.5,72.5,72.5,127.5,137.5,140,140,315,SBD
1,Jeffrey Tryon,,M,1960,61,,FL,Raw,MR-M3,119.22,120,165,172.5,177.5,177.5,125,-130,,125,170,182.5,187.5,187.5,490,SBD
1,John M Alderman,,M,1948,73,,FL,Raw,MR-M4,87.05,93,70,,,70,100,-112.5,-112.5,100,130,140,-150,140,310,SBD
1,Ronald Medrano,,M,1992,29,,TN,Raw,MR-O,82.04,83,245,260,265,265,150,160,167.5,167.5,282.5,300,315,315,747.5,SBD
1,Matthew Otero,,M,1979,43,,,Raw,MR-O,92.97,93,230,245,-255,245,135,145,150,150,247.5,262.5,-267.5,262.5,657.5,SBD
2,Justin Battles,,M,1996,25,,FL,Raw,MR-O,84.94,93,187.5,195,202.5,202.5,132.5,142.5,152.5,152.5,182.5,195,200,200,555,SBD
1,Dan Michael Devano,,M,1995,26,,FL,Raw,MR-O,101.18,105,235,250,-265,250,145,157.5,,157.5,260,280,295,295,702.5,SBD
2,Robert Scholler,,M,1994,27,,FL,Raw,MR-O,99.25,105,185,197.5,207.5,207.5,122.5,127.5,132.5,132.5,230,245,255,255,595,SBD
3,Michael Martinez #1,,M,1986,36,,FL,Raw,MR-O,104.89,105,-170,180,190,190,130,-135,,130,185,200,215,215,535,SBD
1,Jackson Tessmer,,M,2005,16,,FL,Raw,MR-Sj,63.52,66,85,90,100,100,70,77.5,-85,77.5,-85,92.5,105,105,282.5,SBD
1,Colton Trehy,,M,2005,16,,FL,Raw,MR-Sj,80.23,83,122.5,132.5,142.5,142.5,85,87.5,92.5,92.5,160,167.5,177.5,177.5,412.5,SBD
DQ,George Woodbury,,M,1955,66,,FL,Raw,MR-M3,,93,,,,,,,,,,,,,,B
1,Jeffrey Tryon,,M,1960,61,,FL,Raw,MR-M3,119.22,120,,,,,125,-130,,125,,,,,125,B
1,Lawrence Milford,,M,1953,68,,FL,Raw,MR-M3,78.4,83,,,,,,,,,95,100,105,105,105,D
1,Bill Evans,,M,1944,77,,FL,Raw,MR-M4,89.28,93,,,,,,,,,110,122.5,132.5,132.5,132.5,D
