Place,Name,BirthDate,Sex,BirthYear,Age,Country,State,Equipment,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event
1,Natalie Orchard,,F,2003,21,Australia,,Raw,Junior,57,57,85,92.5,100,100,40,47.5,-52.5,47.5,90,102.5,112.5,112.5,260,SBD
1,Arohi Singh,,F,2005,20,Australia,,Raw,Junior,74.8,76,-120,120,127.5,127.5,47.5,52.5,-57.5,52.5,140,150,157.5,157.5,337.5,SBD
1,Bianca Wilmott,,F,1993,32,Australia,,Raw,Open,56.7,57,130,-137.5,137.5,137.5,65,67.5,70,70,160,172.5,-177.5,172.5,380,SBD
DQ,Rachael Rodrigues,,F,1998,27,Australia,,Raw,Open,56.25,57,-90,-90,-90,,42.5,47.5,50,50,105,112.5,117.5,117.5,,SBD
1,Joshua Olaco,,M,2002,22,Australia,,Raw,Junior,81.3,83,180,190,200,200,110,115,-120,115,205,217.5,225,225,540,SBD
1,Hayden Choi,,M,1999,25,Australia,,Raw,Open,73.45,74,-195,210,217.5,217.5,-120,125,-130,125,200,215,-225,215,557.5,SBD
1,Manhei Tse,,M,1998,27,Australia,,Raw,Open,80.35,83,200,210,220,220,130,137.5,142.5,142.5,200,220,237.5,237.5,600,SBD
2,Kevin Shin,,M,1998,27,Australia,,Raw,Open,82.7,83,187.5,202.5,215,215,122.5,130,135,135,225,240,250,250,600,SBD
3,Adnan Hussein,,M,1998,27,Australia,,Raw,Open,81.25,83,-125,130,140,140,77.5,-85,-90,77.5,155,165,170,170,387.5,SBD
1,Blake Aubin,,M,1993,32,Australia,,Raw,Open,104.6,105,250,267.5,275,275,167.5,177.5,-182.5,177.5,255,270,275,275,727.5,SBD
2,Ricky Tzouganatos,,M,2000,24,Australia,,Raw,Open,103.75,105,225,237.5,245,245,150,160,-165,160,250,270,-280,270,675,SBD
3,Anthony Angelillo,,M,1997,27,Australia,,Raw,Open,102.05,105,180,190,200,200,112.5,122.5,127.5,127.5,195,207.5,212.5,212.5,540,SBD
1,Jonah Strickland,,M,1998,26,Australia,,Raw,Open,184.1,120+,70,80,-90,80,90,100,110,110,140,160,-180,160,350,SBD
1,Tommy Luu,,M,2008,16,Australia,,Raw,Sub-Junior,72.7,74,150,-160,-160,150,105,-115,120,120,190,210,-220,210,480,SBD
