Name,Division,Sex,BodyweightKg,BirthDate,BirthYear,Team,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Equipment,Event,WeightClassKg
Beate Normann-Escher,Masters 2,F,58.75,,1960,Polizeisportverein Sonneberg e.V.,70,82.5,90,90,90,1,Single-ply,D,63
Jonathan Bertuch,Open,M,65.8,,1995,Schwerathletik Verein Erfurt e.V.,200,210,220,220,220,1,Single-ply,D,66
Matthias Scholz,Open,M,146.85,,1983,Schwerathletik Verein Erfurt e.V.,230,250,,250,250,1,Single-ply,D,120+
Lena Wilkens,Youth B,F,45.3,,2004,Kraftsportverein Weissensee e.V.,60,70,72.5,72.5,72.5,1,Raw,D,47
Suzanne Höllwarth,Masters 2,F,53.1,,1967,Polizeisportverein Sonneberg e.V.,75,85,95,95,95,1,Raw,D,57
Lena Müller,Juniors,F,68.7,,1998,Schwerathletik Verein Erfurt e.V.,110,120,130,130,130,1,Raw,D,72
Alexandra Töpel,Juniors,F,80.3,,1999,USV Jena e.V.,95,112,117.5,117.5,117.5,1,Raw,D,84
Jolien Steiner,Youth A,F,113.45,,2002,Polizeisportverein Sonneberg e.V.,100,115,137.5,137.5,137.5,1,Raw,D,84+
Patrick Gregor,Open,M,70.55,,1989,Kraftsportverein Weissensee e.V.,165,172.5,177.5,177.5,177.5,2,Raw,D,74
Marcus Siegmund,Open,M,72.85,,1993,Gothaer Bierfassheberverein e.V.,200,210,217.5,217.5,217.5,1,Raw,D,74
Justin Orphal,Youth A,M,72.9,,2001,Kraftsportverein Weissensee e.V.,-165,165,172.5,172.5,172.5,1,Raw,D,74
Hannes Prause,Open,M,76.85,,1990,SG Motor Arnstadt,175,190,200,200,200,1,Raw,D,83
Timon Hofman,Juniors,M,77.55,,1996,SG Motor Arnstadt,150,165,180,180,180,2,Raw,D,83
Silas Storbeck,Juniors,M,81.2,,1998,USV Jena e.V.,185,200,207.5,207.5,207.5,1,Raw,D,83
Dominik Tetsch,Youth A,M,83.05,,2001,SG Motor Arnstadt,140,155,170,170,170,2,Raw,D,93
Sidney Förtsch,Youth A,M,86,,2001,KSV Zillbach e.V.,180,195,205,205,205,1,Raw,D,93
Philipp Mohrmann,Juniors,M,89.85,,1996,USV Jena e.V.,185,200,210,210,210,1,Raw,D,93
Alexey Kvint,Juniors,M,91.8,,2000,SG Motor Arnstadt,175,190,202.5,202.5,202.5,2,Raw,D,93
Ramon Baubel,Open,M,92.05,,1981,Gothaer Bierfassheberverein e.V.,220,230,-235,230,230,1,Raw,D,93
Lukas Weidich,Youth A,M,92.55,,2002,Kraftsportverein Weissensee e.V.,110,-130,130,130,130,3,Raw,D,93
Julian Meißner,Youth A,M,94.4,,2001,Kraftsportverein Weissensee e.V.,120,130,145,145,145,2,Raw,D,105
Marco Eberhardt,Open,M,95.4,,1986,SV 1956 Großkochberg,210,225,230,230,230,2,Raw,D,105
Clemen Wüstemann,Youth A,M,95.95,,2001,Kraftsportverein Weissensee e.V.,140,155,165,165,165,1,Raw,D,105
Max Lizrodt,Youth B,M,97.7,,2004,Kraftsportverein Weissensee e.V.,90,100,105,105,105,1,Raw,D,105
Leonid Hanez,Juniors,M,99.8,,1998,Gothaer Bierfassheberverein e.V.,230,237.5,247.5,247.5,247.5,2,Raw,D,105
Christopher Diete,Juniors,M,101.15,,1997,USV Jena e.V.,250,-265,-265,250,250,1,Raw,D,105
Marko Hirt,Open,M,102.7,,1980,Kraftsportverein Weissensee e.V.,225,240,250,250,250,1,Raw,D,105
Jonas Ahrens,Open,M,107.85,,1991,USV Jena e.V.,220,235,-245,235,235,1,Raw,D,120
Frank Barthel,Open,M,108.3,,1980,SV 1956 Großkochberg,185,205,210,210,210,2,Raw,D,120
Alex Loszkorih,Youth A,M,112.5,,2002,Kraftsportverein Weissensee e.V.,110,120,130,130,130,1,Raw,D,120
Karl Kirsch,Youth B,M,119.6,,2003,KSV Zillbach e.V.,150,165,180,180,180,1,Raw,D,120
Klaus Griesch,Masters 3,M,73.5,,1959,Iron Athletik Sportclub Erfurt e.V.,150,170,187.5,187.5,187.5,1,Raw,D,74
Egon Escher,Masters 3,M,81.4,,1954,Polizeisportverein Sonneberg e.V.,120,140,150,150,150,1,Raw,D,83
Fabrizio Quensel,Masters 2,M,82.05,,1966,1. SV Pößneck e.V.,210,220,225,225,225,1,Raw,D,83
Carsten Hauschild,Masters 2,M,93.85,,1960,Kraftsportverein Weissensee e.V.,125,140,150,150,150,1,Raw,D,105
Mathias Kneißl,Masters 1,M,101.95,,1978,USV Jena e.V.,180,190,-200,190,190,1,Raw,D,105
Rainer Haußner,Masters 2,M,106.45,,1960,1. SV Pößneck e.V.,140,155,-165,155,155,1,Raw,D,120
Marc Schmid-Gursky,Masters 1,M,113.1,,1976,Gothaer Bierfassheberverein e.V.,230,240,-245,240,240,1,Raw,D,120
Ralf Bog,Masters 3,M,124,,1952,SV 1956 Großkochberg,190,200.5,,200.5,200.5,1,Raw,D,120+
Josè Ivàn Gonzàles Abad,Open,M,78.25,,1985,Kraftsportverein Weissensee e.V.,180,190,-202.5,190,190,2,Raw,D,83
