Name,Age,Sex,Equipment,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,Deadlift4Kg,TotalKg,Place,Event
Laurie MacDougall,33,F,Wraps,FA-R-SM,65.1,67.5,75,82.5,-90,82.5,47.5,52.5,-55,52.5,142.5,152.5,155,155,-157.5,290,1,SBD
Sylvie Savage,47,F,Wraps,FA-R-M2,63,67.5,65,75,80,80,32.5,40,-42.5,40,77.5,85,90,90,,210,2,SBD
Jaimie Moore,28,F,Wraps,FA-R-O,59.1,60,80,85,87.5,87.5,40,45,47.5,47.5,82.5,90,95,95,,230,3,SBD
Madvi Nath,27,F,Wraps,FA-R-O,66,67.5,62.5,67.5,72.5,72.5,35,-37.5,37.5,37.5,85,92.5,97.5,97.5,,207.5,4,SBD
Natalie Schwartz,32,F,Wraps,FA-R-O,65,67.5,82.5,87.5,90,90,52.5,55,60,60,95,102.5,-107.5,102.5,,252.5,3,SBD
Felicity Backhouse,25,F,Wraps,FA-R-O,59.5,60,75,-80,80,80,47.5,50,55,55,97.5,102.5,-110,102.5,,237.5,1,SBD
Tina Deluca,46,F,Wraps,FA-R-M2,62.6,67.5,75,80,85,85,40,42.5,45,45,100,105,110,110,,240,1,SBD
Maude Patry,35,F,Raw,FA-R-SM,,,,,,,,,,,90,100,112.5,112.5,,112.5,1,D
Kelsie Tulk,26,F,Wraps,FA-R-O,59.5,60,67.5,75,80,80,35,37.5,42.5,42.5,97.5,107.5,112.5,112.5,,235,2,SBD
Michelle Brand,33,F,Raw,FA-R-SM,76.9,82.5,,,,,,,,,102.5,110,117.5,117.5,,117.5,1,D
Meg Desmond,,F,Wraps,FA-R-O,66.5,67.5,82.5,92.5,95,95,42.5,52.5,-55,52.5,102.5,117.5,120,120,,267.5,2,SBD
Bianca Cruz,25,F,Wraps,FA-R-O,65.4,67.5,97.5,105,112.5,112.5,47.5,52.5,57.5,57.5,112.5,122.5,127.5,127.5,,297.5,1,SBD
Rachel Younker,25,F,Wraps,FA-R-O,55.5,56,90,97.5,-107.5,97.5,52.5,57.5,-62.5,57.5,125,135,142.5,142.5,,297.5,1,SBD
Shea Tough,22,F,Wraps,FA-R-Jr,65.8,67.5,90,97.5,105,105,50,57.5,-62.5,57.5,125,137.5,142.5,142.5,,305,1,SBD
Courtney Norton,31,F,Raw,FA-R-O,58.7,60,,,,,57.5,62.5,-67.5,62.5,,,,,,62.5,1,B
Maude Patry,35,F,Raw,FA-R-SM,67.1,67.5,,,,,57.5,67.5,72.5,72.5,,,,,,72.5,1,B
Tenisha Samuel,40,F,Multi-ply,FP-E-M1,69.8,75,107.5,115,130,130,85,92.5,95,95,130,137.5,-145,137.5,,362.5,1,SBD
Cathy Bruce,59,F,Wraps,FA-R-M4,74.9,75,55,62.5,67.5,67.5,32.5,37.5,-42.5,37.5,65,75,85,85,,190,1,SBD
Laura Atilia,57,F,Wraps,FA-R-M4,80,82.5,47.5,57.5,62.5,62.5,42.5,45,47.5,47.5,65,75,85,85,,195,1,SBD
Teresa Cheng,35,F,Wraps,FA-R-SM,85.6,90,80,85,92.5,92.5,50,55,-57.5,55,67.5,70,75,75,,222.5,1,SBD
Marli Ramsey,58,F,Wraps,FA-R-M4,44.3,48,47.5,52.5,60,60,32.5,35,-40,35,67.5,72.5,77.5,77.5,,172.5,1,SBD
Daneus Orig,23,F,Wraps,FA-R-Jr,46.6,48,60,-70,70,70,30,32.5,35,35,72.5,80,87.5,87.5,,192.5,1,SBD
Carrie Anne Hojnosky,35,F,Wraps,FA-R-SM,76.7,82.5,52.5,-57.5,57.5,57.5,30,-35,-35,30,72.5,80,90,90,,177.5,3,SBD
Sara Carvalho,33,F,Wraps,FA-R-O,58.5,60,52.5,60,65,65,35,40,42.5,42.5,82.5,92.5,100,100,,207.5,4,SBD
Brianna Kane,36,F,Wraps,FA-R-M1,78.4,82.5,70,75,80,80,55,57.5,60,60,85,90,95,95,,235,1,SBD
Yas Finjan,24,F,Wraps,FA-R-O,70.4,75,82.5,97.5,107.5,107.5,42.5,50,-55,50,100,105,110,110,,267.5,2,SBD
Sue Lundrigan,54,F,Wraps,FA-R-M3,51.4,52,-65,75,-85,75,42.5,45,-47.5,45,102.5,110,115,115,,235,1,SBD
Ninette Longsworth,48,F,Wraps,FA-R-M2,50,52,70,85,-91,85,42.5,53.5,-56,53.5,102.5,117.5,122.5,122.5,,261,1,SBD
Karly Dolmer,30,F,Wraps,FA-R-O,74.5,75,97.5,107.5,115,115,57.5,62.5,65,65,125,135,142.5,142.5,,322.5,1,SBD
Katie Sonnichsen,38,F,Wraps,FA-R-SM,82.4,82.5,92.5,102.5,117.5,117.5,67.5,75,-82.5,75,127.5,145,150,150,,342.5,2,SBD
Maria Nikolajev,33,F,Wraps,FA-R-SM,76.9,82.5,117.5,125,130,130,72.5,80,-82.5,80,140,147.5,155,155,,365,1,SBD
Allison Faulkner,36,F,Raw,FA-R-SM,85.8,90,,,,,-47.5,-52.5,-52.5,,,,,,,,DQ,B
