Event,Sex,Name,State,BodyweightKg,WeightClassKg,Division,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Equipment,Place
SBD,M,Wally Grebinski,AB,90,90,Open,235,152.5,272.5,660,Single-ply,2
SBD,M,Peter Bryant,AB,90,90,Open,150,107.5,200,457.5,Single-ply,10
SBD,M,Mike Fotoransky,AB,90,90,Open,157.5,97.5,212.5,467.5,Single-ply,9
SBD,M,Mike Alvey,AB,90,90,Open,220,142.5,227.5,590,Single-ply,3
SBD,M,John Braun,AB,90,90,Open,205,132.5,232.5,570,Single-ply,4
SBD,M,Jim Rabazza,AB,90,90,Open,195,130,192.5,517.5,Single-ply,7
SBD,M,Jeff Allison,AB,90,90,Open,210,130,222.5,562.5,Single-ply,5
SBD,M,Jay Fuller,AB,90,90,Open,277.5,167.5,290,735,Single-ply,1
SBD,M,Dave Craipley,AB,90,90,Open,185,122.5,220,527.5,Single-ply,6
SBD,M,Brian Latawiec,AB,90,90,Open,180,117.5,220,517.5,Single-ply,8
SBD,M,Rick Nagy,AB,82.5,82.5,Open,210,137.5,225,572.5,Single-ply,1
SBD,M,Richard Johnson,AB,82.5,82.5,Open,152.5,120,230,502.5,Single-ply,4
SBD,M,Mike Link,AB,82.5,82.5,Open,177.5,112.5,220,510,Single-ply,3
SBD,M,Cam Thomas,AB,82.5,82.5,Open,185,132.5,225,542.5,Single-ply,2
SBD,F,Tracey Howell,AB,75,75,Open,90,55,97.5,242.5,Single-ply,1
SBD,M,Ron Nagy,AB,75,75,Open,167.5,110,192.5,470,Single-ply,6
SBD,M,Kerry Swaren,AB,75,75,Open,160,100,217.5,477.5,Single-ply,5
SBD,M,Joe Stockinger,AB,75,75,Open,175,115,235,525,Single-ply,2
SBD,M,Guy Thornton,AB,75,75,Open,192.5,122.5,200,515,Single-ply,3
SBD,M,Ed Dickau,AB,75,75,Open,222.5,167.5,247.5,637.5,Single-ply,1
SBD,M,Bob Mercer,AB,75,75,Open,165,90,227.5,482.5,Single-ply,4
SBD,M,Pat Nakama,AB,67.5,67.5,Open,180,117.5,215,512.5,Single-ply,1
SBD,F,Linda Slutnik,AB,67.5,67.5,Open,90,60,137.5,287.5,Single-ply,1
SBD,M,Bob Hindley,AB,67.5,67.5,Open,135,95,182.5,412.5,Single-ply,2
SBD,M,Bill Harder,AB,67.5,67.5,Open,100,50,125,275,Single-ply,3
SBD,F,Rose Faoro,AB,60,60,Open,70,35,107.5,212.5,Single-ply,3
SBD,M,Orrin Perry,AB,60,60,Open,110,65,125,300,Single-ply,4
SBD,M,Naresh Dattani,AB,60,60,Open,160,112.5,185,457.5,Single-ply,1
SBD,M,Damian Perry,AB,60,60,Open,107.5,75,130,312.5,Single-ply,3
SBD,M,Chris Smith,AB,60,60,Open,150,87.5,180,417.5,Single-ply,2
SBD,F,Bernice Weishaar,AB,60,60,Open,70,45,112.5,227.5,Single-ply,2
SBD,F,E Graham,AB,60,60,Open,85,52.5,110,247.5,Single-ply,1
SBD,M,Shaun Simpson,AB,56,56,Open,92.5,67.5,125,285,Single-ply,1
SBD,F,C. McGladdery,AB,56,56,Open,87.5,45,127.5,260,Single-ply,1
SBD,F,Lori Wright,AB,48,48,Open,95,57.5,127.5,280,Single-ply,1
SBD,M,Ralph Kowal,AB,125,125,Open,152.5,100,217.5,470,Single-ply,3
SBD,M,Ken Parsons,AB,125,125,Open,235,152.5,237.5,625,Single-ply,1
SBD,M,Brian Bellway,AB,125,125,Open,207.5,155,262.5,625,Single-ply,2
SBD,M,George Poje,AB,110,110,Open,220,170,260,650,Single-ply,1
SBD,M,Tom Madsen,AB,100,100,Open,200,135,227.5,562.5,Single-ply,2
SBD,M,Murray Ninowski,AB,100,100,Open,172.5,122.5,227.5,522.5,Single-ply,3
SBD,M,Lyle Liepert,AB,100,100,Open,170,142.5,200,512.5,Single-ply,5
SBD,M,Jeff Ross,AB,100,100,Open,245,165,237.5,647.5,Single-ply,1
SBD,M,Del Fettig,AB,100,100,Open,192.5,120,205,517.5,Single-ply,4
