Event,Sex,Name,State,BodyweightKg,WeightClassKg,Division,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Equipment,Place
B,M,Robert Goguen,QU,66.3,67.5,Open,,140.0,,140.0,Single-ply,1
B,M,Marc Rioux,QU,109,110,Open,,210.0,,210.0,Single-ply,1
B,M,Eric Beaulieu,QU,107,110,Open,,162.5,,162.5,Single-ply,2
B,M,Sean Johnson,QU,91,100,Open,,152.5,,152.5,Single-ply,1
B,M,Gaetan Dube,QU,96.3,100,Master 2,,140.0,,140.0,Single-ply,1
B,M,Chris Johnson,QU,81.2,82.5,Master 1,,165.0,,165.0,Single-ply,1
B,M,Asied Debly,QU,102.5,110,Master 1,,155.0,,155.0,Single-ply,1
B,M,Jonathan Levesque,QU,88.4,90,Junior,,140.0,,140.0,Single-ply,1
B,M,David Desrosiers,QU,89.4,90,Junior,,110.0,,110.0,Single-ply,2
B,M,Keven Gauthier,QU,72,75,Junior,,115.0,,115.0,Single-ply,1
