Event,Sex,Name,State,BodyweightKg,WeightClassKg,Division,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Equipment,Place
SBD,M,Mike MacDonald,NS,87.2,90,Sub-Junior,185.0,127.5,227.5,540.0,Single-ply,1
SBD,M,Paul MacDonald,NL,90.0,90,Open,285.0,182.5,280.0,747.5,Single-ply,1
SBD,M,Ken Power,NL,89.9,90,Open,282.5,202.5,260.0,745.0,Single-ply,2
SBD,M,Cory Grandy,NL,82.2,82.5,Open,222.5,160.0,235.0,617.5,Single-ply,1
SBD,M,Craig Hurford,NS,139.9,125+,Open,245.0,240.0,285.0,770.0,Single-ply,1
SBD,M,Mike Johnson,NS,105.4,110,Open,267.5,190.0,300.0,757.5,Single-ply,2
SBD,M,Jason Cormier,AB,108.3,110,Open,230.0,182.5,227.5,640.0,Single-ply,3
SBD,M,Brian George,NL,107.7,110,Open,300.0,190.0,310.0,800.0,Single-ply,1
SBD,M,Jeff Gallant,PE,96.8,100,Open,245.0,197.5,257.5,700.0,Single-ply,2
SBD,M,Darren Weatherbie,PE,97.5,100,Open,340.0,245.0,295.0,880.0,Single-ply,1
SBD,M,Wilson Temple,NL,85.2,90,Master 2,92.5,82.5,132.5,307.5,Single-ply,2
SBD,M,George Power,NL,90.0,90,Master 2,205.0,170.0,205.0,580.0,Single-ply,1
SBD,M,Frank Williams,NL,82.4,82.5,Master 2,177.5,110.0,200.0,487.5,Single-ply,1
SBD,F,Wenda Temple,NL,60.0,60,Master 2,82.5,55.0,107.5,245.0,Single-ply,1
SBD,M,Roy Ferguson,NS,92.5,100,Master 2,190.0,120.0,220.0,530.0,Single-ply,1
SBD,M,Van Downey,NL,88.3,90,Master 1,267.5,195.0,275.0,737.5,Single-ply,1
SBD,M,Neil White,NL,66.6,67.5,Master 1,140.0,100.0,170.0,410.0,Single-ply,1
SBD,M,William Mosher,NL,103.5,110,Master 1,160.0,125.0,227.5,512.5,Single-ply,2
SBD,M,Eugene Barry,NL,102.9,110,Master 1,180.0,162.5,192.5,535.0,Single-ply,1
SBD,M,Ryan Tingman,NB,95.5,100,Master 1,255.0,200.0,245.0,700.0,Single-ply,1
SBD,M,Luke Pike,NL,103.6,110,Junior,260.0,150.0,285.0,695.0,Single-ply,1
SBD,M,Scott Simmonds,NL,96.0,100,Junior,240.0,162.5,240.0,642.5,Single-ply,2
SBD,M,John MacDonald,PE,98.4,100,Junior,305.0,207.5,280.0,792.5,Single-ply,1
B,M,Mike MacDonald,NS,87.2,90,Sub-Junior,,120.0,,120.0,Single-ply,1
B,M,Dustin Warr,NL,49.5,52,Sub-Junior,,95.0,,95.0,Single-ply,1
B,M,Scott Dawe,NL,78.6,82.5,Open,,172.5,,172.5,Single-ply,1
B,F,Wenda Temple,NS,60.0,60,Open,,52.5,,52.5,Single-ply,1
B,M,Craig Hurford,NS,139.9,125+,Open,,230.0,,230.0,Single-ply,1
B,M,Peter Vickery,NS,105.5,110,Open,,175.0,,175.0,Single-ply,3
B,M,Nathan Robertson,NS,103.3,110,Open,,190.0,,190.0,Single-ply,2
B,M,Mike Johnson,NS,105.4,110,Open,,200.0,,200.0,Single-ply,1
B,M,Jeff Gallant,PE,96.8,100,Open,,200.0,,200.0,Single-ply,1
B,M,Wilson Temple,NS,85.2,90,Master 2,,82.5,,82.5,Single-ply,2
B,M,Ron Cormier,NL,88.5,90,Master 2,,165.0,,165.0,Single-ply,1
B,M,Frank Williams,NL,83.5,90,Master 1,,117.5,,117.5,Single-ply,1
B,M,Neil White,NL,66.4,67.5,Master 1,,100.0,,100.0,Single-ply,1
B,F,Lee-Ann Dalling,NS,49.8,52,Master 1,,87.5,,87.5,Single-ply,1
B,M,William Mosher,NL,104.1,110,Master 1,,125.0,,125.0,Single-ply,1
B,M,Ryan Tingman,NB,95.3,100,Master 1,,190.0,,190.0,Single-ply,1
B,M,Shawn Francis,PE,95.2,100,Junior,,170.0,,170.0,Single-ply,2
B,M,John MacDonald,PE,100.0,100,Junior,,195.0,,195.0,Single-ply,1
B,M,Gavin Osmond,NL,92.4,100,Junior,,110.0,,110.0,Single-ply,3
