Event,Sex,Name,State,BodyweightKg,WeightClassKg,Division,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Equipment,Place
SBD,M,Travis Campbell,SK,82.0,83,Sub-Junior,205.0,130.0,212.5,547.5,Single-ply,1
SBD,F,Jordyn Mackie,SK,53.9,57,Sub-Junior,74.0,42.5,105.0,221.5,Single-ply,1
SBD,M,Rory Windrum,SK,88.8,93,Open,180.0,105.0,165.0,450.0,Single-ply,1
SBD,M,Matthew Rachinski,SK,71.9,74,Open,215.0,135.0,235.0,585.0,Single-ply,1
SBD,M,Tim Agnew,SK,122.0,120+,Open,182.5,102.5,182.5,467.5,Single-ply,1
SBD,M,Lucas Tetreault,SK,101.6,105,Open,270.0,177.5,255.0,702.5,Single-ply,1
SBD,M,Thomas Johnson,SK,79.6,83,Junior,180.0,105.0,230.0,515.0,Single-ply,1
SBD,M,Jeremy Lundgren,SK,111.7,120,Junior,230.0,150.0,240.0,620.0,Single-ply,1
SBD,M,Brett MacDonald,SK,84.0,93,Sub-Junior,100.0,80.0,142.5,322.5,Raw,1
SBD,M,David Leacock,SK,84.6,93,Open,95.0,100.0,145.0,340.0,Raw,1
SBD,M,Nick Vany,SK,80.6,83,Open,165.0,102.5,215.0,482.5,Raw,1
SBD,M,Todd Butler,SK,95.8,105,Open,150.0,110.0,192.5,452.5,Raw,1
SBD,M,Garry MacDonald,SK,116.4,120,Master 2,182.5,142.5,215.0,540.0,Raw,1
SBD,F,Carla Loney-Tindall,SK,79.3,84,Master 1,87.5,55.0,105.0,247.5,Raw,1
SBD,F,Darcy Mackie,SK,66.8,72,Master 1,65.0,45.0,95.0,205.0,Raw,1
SBD,M,Kolton Huget,SK,88.7,93,Junior,205.0,130.0,250.0,585.0,Raw,1
SBD,M,Josh Gilnes,SK,80.9,83,Junior,155.0,120.0,187.5,462.5,Raw,1
SBD,F,Alex Philibert,SK,57.8,63,Junior,60.0,52.5,105.0,217.5,Raw,1
SBD,M,Matthew Apesland,SK,96.9,105,Junior,170.0,105.0,190.0,465.0,Raw,1
B,M,Tim Agnew,SK,122.0,120+,Open,,122.5,,122.5,Single-ply,1
B,M,Rob Morao,SK,98.9,105,Open,,192.5,,192.5,Single-ply,1
B,M,Clinton Templeton,SK,99.7,105,Open,,102.5,,102.5,Single-ply,2
B,M,John Murphy,SK,82.7,83,Master 1,,150.0,,150.0,Single-ply,1
B,M,Pat Thera,SK,126.7,120+,Master 1,,200.0,,200.0,Single-ply,2
B,M,Dan Suberlak,SK,135.0,120+,Master 1,,180.0,,180.0,Single-ply,3
B,M,Brian Bailey,SK,131.8,120+,Master 1,,227.5,,227.5,Single-ply,1
B,M,Tyler Harnett,SK,115.3,120,Open,,155.0,,155.0,Raw,1
B,M,Blaine Mackie,SK,88.1,93,Master 1,,130.0,,130.0,Raw,1
