Event,Sex,Name,State,BodyweightKg,WeightClassKg,Division,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Equipment,Place
SBD,M,Anthony Fenech,ON,84.4,93,Open,160.0,105.0,200.0,465.0,Raw,2
SBD,M,Andrew Armstrong,ON,90.6,93,Open,147.5,155.0,230.0,532.5,Raw,1
SBD,F,Joanie Gaudreau,ON,85.5,84+,Open,100.0,52.5,127.5,280.0,Raw,1
SBD,M,Osama Khan,ON,80.7,83,Open,147.5,117.5,200.0,465.0,Raw,3
SBD,M,Michael Whiting,ON,78.9,83,Open,187.5,140.0,222.5,550.0,Raw,1
SBD,M,J Newton,ON,81.2,83,Open,192.5,122.5,235.0,550.0,Raw,2
SBD,M,Chris Juryn,ON,81.6,83,Open,125.0,135.0,205.0,465.0,Raw,4
SBD,M,Bilal Khan,ON,73.1,74,Open,162.5,140.0,195.0,497.5,Raw,1
SBD,M,Jeremiah Villanueva,ON,65.3,66,Open,160.0,105.0,190.0,455.0,Raw,2
SBD,M,Andrew Carnovale,ON,64.5,66,Open,152.5,117.5,190.0,460.0,Raw,1
SBD,F,Leah Gitterman,ON,50.2,52,Open,92.5,47.5,115.0,255.0,Raw,2
SBD,F,Jazz Kaur,ON,51.1,52,Open,82.5,57.5,122.5,262.5,Raw,1
SBD,M,Jamie Johnson,ON,115.6,120,Open,190.0,167.5,277.5,635.0,Raw,1
SBD,M,Alastair MacNicol,ON,98.5,105,Open,232.5,145.0,272.5,650.0,Raw,1
SBD,F,Lynn Lister,ON,61.7,63,Master 2,75.0,65.0,107.5,247.5,Raw,1
SBD,M,John McKittrick,ON,76.3,83,Master 1,170.0,112.5,202.5,485.0,Raw,1
SBD,F,Maria Commisso,ON,56.3,57,Master 1,85.0,37.5,105.0,227.5,Raw,1
SBD,M,Thomas Foley,ON,112.3,120,Master 1,157.5,137.5,200.0,495.0,Raw,2
SBD,M,Gerry Frenette,ON,115.4,120,Master 1,215.0,172.5,192.5,580.0,Raw,1
SBD,M,Charles Banfield,ON,104.2,105,Master 1,180.0,127.5,205.0,512.5,Raw,1
SBD,M,James Cash,ON,90.3,93,Junior,180.0,110.0,215.0,505.0,Raw,1
SBD,F,Jodi Spivak,ON,85.5,84+,Junior,122.5,60.0,137.5,320.0,Raw,1
SBD,F,Amanda Santos,ON,78.8,84,Junior,60.0,35.0,87.5,182.5,Raw,1
SBD,M,Jonathan Kuhlmann,ON,80.6,83,Junior,167.5,110.0,225.0,502.5,Raw,1
SBD,M,Daniel Remulla,ON,65.9,66,Junior,192.5,135.0,220.0,547.5,Raw,1
