Event,Sex,Name,State,BodyweightKg,WeightClassKg,Division,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Equipment,Place
SBD,M,John Chittle,ON,86.1,93,Sub-Junior,182.5,115.0,227.5,525.0,Raw,1
SBD,M,Collin Meloche,ON,93.0,93,Sub-Junior,112.5,92.5,150.0,355.0,Raw,2
SBD,M,Abe Farris,ON,92.4,93,Sub-Junior,62.5,70.0,117.5,250.0,Raw,3
SBD,F,Harley Michaluk,ON,75.4,84,Sub-Junior,62.5,47.5,95.0,205.0,Raw,1
SBD,M,Michael Nguyen,ON,78.0,83,Sub-Junior,142.5,72.5,170.0,385.0,Raw,3
SBD,M,Justin Kondruk,ON,80.7,83,Sub-Junior,165.0,115.0,185.0,465.0,Raw,1
SBD,M,Brian McLinden,ON,75.3,83,Sub-Junior,65.0,77.5,175.0,317.5,Raw,4
SBD,M,Anthony Schastsna,ON,81.6,83,Sub-Junior,130.0,100.0,175.0,405.0,Raw,2
SBD,M,Zack Stacey,ON,67.2,74,Sub-Junior,70.0,80.0,120.0,270.0,Raw,6
SBD,M,Travis Szalay,ON,66.8,74,Sub-Junior,87.5,87.5,145.0,320.0,Raw,4
SBD,M,Stephen Regnier,ON,73.1,74,Sub-Junior,142.5,77.5,220.0,440.0,Raw,2
SBD,M,Noah Leschyna,ON,71.6,74,Sub-Junior,157.5,107.5,170.0,435.0,Raw,3
SBD,M,Joe Zelko,ON,67.1,74,Sub-Junior,95.0,67.5,140.0,302.5,Raw,5
SBD,M,Allen Lai,ON,72.6,74,Sub-Junior,180.0,110.0,182.5,472.5,Raw,1
SBD,F,Taylor Vaux,ON,61.2,63,Sub-Junior,82.5,47.5,90.0,220.0,Raw,1
SBD,M,Braydon O'Neal,ON,130.4,120+,Sub-Junior,107.5,77.5,122.5,307.5,Raw,1
SBD,M,William Layman,ON,94.1,105,Sub-Junior,130.0,92.5,200.0,422.5,Raw,3
SBD,M,River Balazsy,ON,96.3,105,Sub-Junior,150.0,100.0,190.0,440.0,Raw,2
SBD,M,Piero Fratarcangeli,ON,94.7,105,Sub-Junior,77.5,75.0,137.5,290.0,Raw,4
SBD,M,Abdullah Asfour,ON,95.7,105,Sub-Junior,142.5,122.5,195.0,460.0,Raw,1
