contest,contest_date,c_date,location,type,gender,name,province,age_category,bodyweight,weightclass_new,squat_1,squat_2,squat_3,squat,bench_1,bench_2,bench_3,bench,deadlift_1,deadlift_2,deadlift_3,deadlift,total,gl_points,unequipped,year
Competition Name,2025-01-18,2025-01-18,"Scarborough, ON",All,F,Sophia  Lazzaro,ON,Women's Raw Junior,68.73,69,120,127.5,-135,127.5,67.5,72.5,-77.5,72.5,135,145,155,155,355,73.70765167065117,Yes,2025
Trinity Barbell - Last Chance for the Dance,2025-01-18,2025-01-18,"Scarborough, ON",All,F,Ariane  Charron,ON,Women's Raw Junior,66.57,69,125,132.5,-135,132.5,77.5,85,87.5,87.5,125,130,-142.5,130,350,74.01541664196743,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,F,Isshana  Mohanakumar,ON,Women's Raw Junior,67.69,69,-120,120,130,130,55,60,-62.5,60,142.5,155,160,160,350,73.30033259870733,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,F,Rachel  Coulter,ON,Women's Raw Junior,74.24,76,-125,132.5,140,140,80,82.5,85,85,125,135,142.5,142.5,367.5,73.27595910660766,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,F,Madison  Tavenor,ON,Women's Raw Junior,83.91,84,157.5,167.5,-177.5,167.5,70,-75,-75,70,150,162.5,-167.5,162.5,400,75.57114183325902,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,F,Jodie  Church,ON,Women's Raw Master I,71.48,76,75,82.5,85,85,37.5,-40,-40,37.5,100,105,110,110,232.5,47.25801630651657,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,F,Masae  Campbell,ON,Women's Raw Master II,51.53,52,85,95,100,100,47.5,50,-52.5,50,105,115,-117.5,115,265,67.44111655608282,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,F,Tammy  Dagenais,ON,Women's Raw Master II,55.79,57,-85,90,-92.5,90,40,42.5,45,45,87.5,92.5,105,105,240,57.22366646732706,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,F,Marie-Pier  Grimard,ON,Women's Raw Open,75.59,76,145,160,165,165,80,-85,-85,80,145,155,-165,155,400,79.06470237628818,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,F,Emily  Armstrong,ON,Women's Raw Open,75.53,76,130,135,140,140,70,75,-77.5,75,150,160,-165,160,375,74.15117146738694,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,F,Shira  Botzer,ON,Women's Raw Open,74.08,76,120,127.5,-135,127.5,70,75,-77.5,75,142.5,152.5,162.5,162.5,365,72.85474807527898,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,F,Evey  Zheng,ON,Women's Raw Open,73.49,76,125,132.5,140,140,65,70,72.5,72.5,142.5,150,-157.5,150,362.5,72.64340511,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,F,Brooke  Myatt,ON,Women's Raw Open,71.29,76,115,122.5,127.5,127.5,60,62.5,-65,62.5,150,157.5,165,165,355,72.25835628338234,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,F,Fatim  Ammor,ON,Women's Raw Open,81.44,84,-117.5,117.5,-125,117.5,55,60,-65,60,130,140,-150,140,317.5,60.71128359752004,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,F,Micah  Vandenburg,ON,Women's Raw Sub-Junior,60.51,63,75,80,85,85,50,52.5,55,55,85,90,95,95,235,52.81023190053339,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,M,Mario  Lunardo,ON,Men's Equipped Open Bench Only,169.95,120+,,,,,262.5,-267.5,-267.5,262.5,,,,,262.5,71.18509949459103,No,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,M,Tyson  Dorey,ON,Men's Raw Junior,66.8,74,70,-125,-125,70,100,-107.5,-107.5,100,75,-150,-160,75,245,37.94921589306771,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,M,Chevy  Reimer,ON,Men's Raw Junior,77.68,83,182.5,195,202.5,202.5,102.5,107.5,110,110,190,205,-215,205,517.5,74.09426364,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,M,William  Welch,ON,Men's Raw Junior,79.37,83,-115,115,125,125,77.5,85,90,90,140,150,160,160,375,53.102848055598905,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,M,Benjamin  Persaud,ON,Men's Raw Junior,91.75,93,210,230,240,240,135,150,160,160,-275,275,300,300,700,92.18267378750508,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,M,Damanpreet  Brar,ON,Men's Raw Junior,91.27,93,200,210,220,220,115,122.5,125,125,215,232.5,242.5,242.5,587.5,77.56689935742706,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,M,Cole  Harrington,ON,Men's Raw Junior,89.5,93,182.5,197.5,210,210,115,125,132.5,132.5,210,225,-235,225,567.5,75.65243562299266,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,M,Abhi  Sharma,ON,Men's Raw Junior,85.16,93,165,172.5,177.5,177.5,95,100,107.5,107.5,187.5,197.5,205,205,490,66.95759424040735,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,M,Adam  Voutier,ON,Men's Raw Junior,103.76,105,240,252.5,265,265,142.5,152.5,160,160,235,250,262.5,262.5,687.5,85.35343150935249,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,M,Sam  Korvemaker,ON,Men's Raw Junior,104.42,105,215,227.5,235,235,132.5,142.5,-150,142.5,252.5,267.5,277.5,277.5,655,81.07804374,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,M,Victor  Nguyen,ON,Men's Raw Junior,100.12,105,182.5,195,202.5,202.5,135,147.5,-152.5,147.5,247.5,270,282.5,282.5,632.5,79.85776576842525,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,M,Ewan  Khella,ON,Men's Raw Junior,100.5,105,210,217.5,-225,217.5,130,132.5,-140,132.5,240,255,-265,255,605,76.24856691381552,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,M,Kevin  Hailemariam,ON,Men's Raw Master I,114.73,120,215,230,240,240,140,145,147.5,147.5,245,260,-272.5,260,647.5,76.77612353,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,M,Todd  Matthews,ON,Men's Raw Master II,72.09,74,140,150,155,155,92.5,97.5,100,100,162.5,170,175,175,430,63.992840850388106,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,M,Housni  Ammor,ON,Men's Raw Master II,121.71,120+,-155,155,-175,155,110,-120,125,125,175,-190,205,205,485,56.03375771023824,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,M,Nathan  Chan,ON,Men's Raw Open,72.82,74,175,182.5,190,190,127.5,135,140,140,190,200,-205,200,530,78.46194745,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,M,Jalen  Drummond,ON,Men's Raw Open,71.33,74,-100,100,107.5,107.5,80,85,87.5,87.5,137.5,142.5,-150,142.5,337.5,50.50558184505898,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,M,David  Watts,ON,Men's Raw Open,81.91,83,225,-235,-237.5,225,135,140,-142.5,140,220,-227.5,227.5,227.5,592.5,82.56819430932057,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,M,Nickolas  Tarasca,ON,Men's Raw Open,91.9,93,250,262.5,272.5,272.5,165,172.5,-175,172.5,250,262.5,-272.5,262.5,707.5,93.09581261594144,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,M,Jordan  Aphayvong,ON,Men's Raw Open,91.2,93,197.5,210,220,220,140,145,150,150,245,260,275,275,645,85.19063762499863,Yes,2025
,2025-01-18,2025-01-18,"Scarborough, ON",All,M,Matthew  Mancini,ON,Men's Raw Open,86.35,93,175,182.5,190,190,127.5,130,135,135,195,210,215,215,540,73.27927673213057,Yes,2025
