,,,,,"Feuille de Match 2024 MANAPANY
21/09/2024",,,,,,,,,,,,,,,,,,,,,,,,,
,La REUNION,,,,,,A utiliser à partir du 13 Juin 2024                                                       Compétition,,,,,,,,,,,Open de La Réunion,,,,,,,,,,,,
Ligue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Licen.,CLUB,S F-M,Date nais.,"Cat. d'âge
A",NOM,Prénom,,"Poids de
corps",Cat. Poids,Indice,Lot.,SQUAT,,,DC,,,,S de T,,,"TOTAL
réalisé",Clas.,Points Réalisés,"Niveau Cat. Âge
A",Niveau Open,choix discipline,"Contrôle Anti-
dopage",Cat. d'âge A+1,"Niveau Cat. Âge
A+1"
,,,,,,,,,,,,1,2,3,1,2,,3,1,2,3,,,,,,,,,
52106,"0560 - FORCE ATHLÉTIQUE MANAPANY L11 - LIGUE DE FORCE LA RÉUNION 0560 - FORCE ATHLÉTIQUE MANAPANY
0560 - FORCE ATHLÉTIQUE MANAPANY",F,2004,JR,TURPIN,Amélie,,"51,7",52 Kg,"0,25377",2,115,125,130,"62,5",70,,"72,5","122,5","132,5","137,5","322,5",1,"81,840559",N2,N2,FA,,JR,N2
53072,,F,2002,JR,LOPEZ,Talya,,"80,4",84 Kg,"0,192251",10,130,145,150,60,65,,70,135,"137,5","137,5","352,5",1,"67,76847",N2,R1,FA,,JR,N2
54278,,F,2004,JR,MARMORAT,Anais,,"96,1",+84 Kg,"0,18036",9,140,145,155,70,"77,5",,"77,5",150,170,"192,5",385,1,"69,438471",N2,R1,FA,,JR,N2
51592,,F,1993,SNR,BOSSY,Elodie,,"51,8",52 Kg,"0,253347",1,"112,5","117,5","122,5",55,"57,5",,60,"127,5",135,140,320,1,"81,070726",N2,N2,FA,,SNR,N2
46796        0560 - FORCE ATHLÉTIQUE MANAPANY,,F,1996,SNR,MUSSARD,Elisa,,"56,2",57 Kg,"0,237092",4,115,120,120,"52,5",55,,55,155,"162,5",168,343,1,"81,322413",N2,N2,FA,,SNR,N2
52844,"0560 - FORCE ATHLÉTIQUE MANAPANY
0560 - FORCE ATHLÉTIQUE MANAPANY
Haltero Club Ste Marie
L11 - LIGUE DE FORCE LA RÉUNION 0560 - FORCE ATHLÉTIQUE MANAPANY
0560 - FORCE ATHLÉTIQUE MANAPANY
0560 - FORCE ATHLÉTIQUE MANAPANY",F,1987,SNR,SERRANO,Anais,,"56,2",57 Kg,"0,237092",3,110,115,120,65,"67,5",,"67,5","142,5","152,5","157,5","332,5",2,"78,832951",R1,R1,FA,,SNR,R1
13744,,F,1999,SNR,PAILHA,Camille,,76,76 Kg,"0,197157",6,135,"142,5","147,5",95,100,,105,155,165,"177,5","412,5",1,"81,327025",N1,N1,FA,,SNR,N1
54367,,M,2001,JR,GONTHIER,Benjamin,,"73,4",74 Kg,"0,147432",13,170,"182,5",190,"122,5","127,5",,"132,5",180,190,200,510,1,"75,190231",R1,R1,FA,,SNR,R1
53739,,M,2005,JR,CORRE,Mélino,,"68,9",74 Kg,"0,15239",5,145,155,170,105,115,,"122,5",155,170,185,440,2,"67,051291",R2,R2,FA,,JR,R2
47038,,M,2003,JR,BOYER,Enzo,,"79,3",83 Kg,"0,141672",7,"172,5","177,5",190,105,"112,5",,"122,5",215,"227,5",235,"517,5",1,"73,314976",R2,R2,FA,,JR,R2
52263,,M,2002,JR,MAILLOT,Simon,,"85,6",93 Kg,"0,136296",14,175,"187,5",195,100,105,,105,215,230,"237,5","522,5",1,"71,214507",R2,R2,FA,,JR,R2
41881,,M,1978,M1,SORRES,Sylvain,,63,66 Kg,"0,15978",11,"132,5",135,140,90,95,,"100,5","162,5","172,5","177,5","402,5",1,"64,311212",N1,R2,FA,,M1,N1
50995,0560 - FORCE ATHLÉTIQUE MANAPANY,M,1984,M1,ASSET,Kévin,,"90,8",93 Kg,"0,132365",12,"167,5",175,"182,5",130,"137,5",,"142,5",195,205,"212,5",530,1,"70,15297",N2,R2,FA,,M1,N2
261,"0560 - FORCE ATHLÉTIQUE MANAPANY
0560 - FORCE ATHLÉTIQUE MANAPANY
0560 - FORCE ATHLÉTIQUE MANAPANY
0560 - FORCE ATHLÉTIQUE MANAPANY
0560 - FORCE ATHLÉTIQUE MANAPANY
0560 - FORCE ATHLÉTIQUE MANAPANY
0560 - FORCE ATHLÉTIQUE MANAPANY
Team La Fournaise Lifter
0560 - FORCE ATHLÉTIQUE MANAPANY
0560 - FORCE ATHLÉTIQUE MANAPANY
0560 - FORCE ATHLÉTIQUE MANAPANY
0560 - FORCE ATHLÉTIQUE MANAPANY",M,1953,M4,CUVELIER,Alain,,"65,9",66 Kg,"0,15601",8,110,120,125,80,90,,90,150,170,180,0,0,0,0,0,FA,,M4,0
43890,,M,2001,JR,HOAREAU,Jean-Gerald,,82,83 Kg,"0,139279",11,230,"242,5",245,158,158,,160,225,230,230,635,1,"88,441573",N2,R1,FA,,SNR,R1
51099,,M,2005,JR,MONTROUGE,Nicolas,,"81,9",83 Kg,"0,139365",12,210,"222,5","222,5","147,5",150,,150,245,"257,5","267,5",630,2,"87,799463",N2,R1,FA,,JR,N2
44977,,M,2004,JR,BARRET,Arnaud,,91,93 Kg,"0,132222",13,"187,5","197,5",205,145,"152,5",,"157,5","222,5",235,245,"607,5",1,"80,324267",R1,R1,FA,,JR,R1
46973,,M,2005,JR,FEYNIE,Benjamin,,"101,3",105 Kg,"0,125559",17,230,245,255,"142,5",150,,155,235,250,260,670,1,"84,12436",N2,R1,FA,,JR,N2
49036,,M,2003,JR,WASHINGTON,Kobe,,95,105 Kg,"0,129476",16,"217,5","222,5","227,5","157,5",165,,165,260,"272,5","272,5","657,5",2,"85,130048",N2,R1,FA,,JR,N2
47434,,M,2003,JR,EL AASAR,Naël,,"103,6",105 Kg,"0,124241",18,"202,5",215,225,"157,5",165,,165,"247,5",260,270,"632,5",3,"78,581879",R1,R1,FA,,JR,R1
36239,,M,1996,SNR,TABERE,Nicolas,,"82,2",83 Kg,"0,139107",32,215,235,240,140,"152,5",,"157,5",280,"302,5","310,5",708,1,"98,487263",N1,N1,FA,,SNR,N1
50118,,M,1999,SNR,HOAREAU,Romain,,"81,3",83 Kg,"0,139886",28,"187,5",200,"212,5",130,"137,5",,140,220,235,250,585,2,"81,832794",R1,R1,FA,,SNR,R1
50103,,M,1996,SNR,FRANCOMME,Jordan,,"82,7",83 Kg,"0,138681",31,190,205,215,145,150,,"157,5","192,5","207,5",215,580,3,"80,434465",R1,R1,FA,,SNR,R1
3410,,M,1987,SNR,EYDIEUX,Alexandre,,"92,9",93 Kg,"0,13089",26,225,240,250,160,"167,5",,175,245,260,275,685,1,"89,659532",R1,R1,FA,,SNR,R1
53090,,M,1995,SNR,GILBERT,Marquis Junior,,"92,7",93 Kg,"0,131028",27,210,215,215,145,"147,5",,"147,5",230,"237,5","247,5","592,5",2,"77,633855",R1,R1,FA,,SNR,R1
50765,0560 - FORCE ATHLÉTIQUE MANAPANY,M,1995,SNR,RAGOU,Benjamin,,"103,7",105 Kg,"0,124185",29,245,250,250,150,155,,160,245,"252,5","257,5","657,5",1,"81,65101",R1,R1,FA,,SNR,R1
51588,0560 - FORCE ATHLÉTIQUE MANAPANY,M,1999,SNR,TURPIN,Timothée,,113,120 Kg,"0,119384",25,230,245,255,"157,5",160,,165,"242,5","257,5","262,5","677,5",1,"80,882237",R1,R1,FA,,SNR,R1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBSERVATIONS et DIVERS :,,,,,,"Secrétaire
AUBERVAL Danielle",,,"1er Assesseur
BLONDAN Daisy",,,,"Chef de Plateau
CHANE-FO Dimitri",,,,,"2eme Assesseur
AUBERVAL Georges",,,,,,,,,,,,
