Ф Е Д Е Р А Ц И Я П А У Э Р Л И Ф Т И Н Г А Р О С С И И,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ИТОГОВЫЕ МАТЕРИАЛЫ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ДЕВЯТОГО,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ПЕРВЕНСТВА РОССИИ СРЕДИ ЮНОШЕЙ И ДЕВУШЕК ДО 18 ЛЕТ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
06 – 10 июля 2005г. г. Ковров (Владимирская обл.),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
...........................................................................................................…........…….......,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Итоговые материалы,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
IX Первенства России,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
среди девушек до 18 лет,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
7 июля 2005г. гор. Ковров,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
…………………………………………………………………………………………………………………………………,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Весовая категория 44.0 кг,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Пинженина Александра,1988,Х-Мансийский Советский,,,132.5,,80,110,322.5,456.862,Пинженин И.А.,,
,,,,,,,,,,,,,,
,,МСМК,,43.6,,,,,,МСМК,,12,,
2,Чурина Дарья,1988,Иркутская. Иркутск,ВС,,117.5,,60,95,272.5,,Володько В.А.,,
,,,,,,,,,,,,,,
,,МС,,43.4,,,,,,МС,,9,,
3,Наливкина Софья,1991,Красноярский,,,95,,40,117.5,252.5,,Муравьев И.В.,,
,,,,,,,,,,,,,,
,,МС,Дудинка,43.7,,,,,,МС,,Личн,,
4,Резвякова Ольга,1988,Татарстан Елабуга,,,95,,50,105,250,,Красильников А.А.,,
,,,,,,,,,,,,,,
,,КМС,,43,,,,,,МС+,,8,,
-,Матвеева Екатерина,1989,Московская. Мытищи,ЮР,,120,,0,,,,Матвеев В.,,
,,,,,,,,,,,,,,
,,МСМК,,43.6,,,,,,,,0,,
-,Корепанова Елена,1988,Удмуртия. Ижевск,ЮР,,0,,,,,,Асанов Э..,,
,,,,,,,,,,,,,,
,,КМС,,43.9,,,,,,,,Князев И.,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Весовая категория 48.0 кг,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Дик Инесса,1990,Свердловская Новоуральск,Рос,125,67.5,122.5,315,417.192,Кононов И.В. Медведева Ю.В.,,,,
,,,,,,,,,,,,,,
,,МС,,48,,,,МС,,12,,,,
2,Шынкаренко Альбина,1989,Татарстан,,120,52.5,130,302.5,,Шарифулина С.,,,,
,,,,,,,,,,,,,,
,,МС,Елабуга,47.7,,,,МС,,Денисов А.,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,9,,,,
3,Расторгуева Анна,1989,Томская Северск,,122.5,60,115,297.5,,Расторгуев Н.Г.,,,,
,,,,,,,,,,,,,,
,,МС,,47.9,,,,МС,,8,,,,
4,Сухарь Елена,1989,Ямало-Ненецкий Тарко-Сале,Рос,115,67.5,105,287.5,,Карпенко С.. Финогин И.,,,,
,,,,,,,,,,,,,,
,,МС,,47.3,,,,МС,,7,,,,
5,Ананьина Юлия,1989,Владимирская Лакинск,Рос,75,35,97.5,207.5,,Красильников Д.В.. Панюкова Т.В.,,,,
,,,,,,,,,,,,,,
,,1,,47.9,,,,1,,0,,,,
6,Гоголева Татьяна,1990,Ивановская,Рос,90,32.5,90,202.5,,Крост М.А.,,,,
,,,,,,,,,,,,,,
,,КМС,Шуя,47.3,,,,1,,0,,,,
7,Степанищева Марина,1988,Ивановская,Рос,70,30,90,190,,Крост М.А.,,,,
,,,,,,,,,,,,,,
,,КМС,Шуя,47,,,,1,,0,,,,
8,Стапанищева Екатерина,1987,Ивановская. Шуя,Рос,65,30,85,180,,Крост М.А.,,,,
,,,,,,,,,,,,,,
,,КМС,,44.7,,,,2,,Личн.,,,,
-,Рощина Анастасия,1988,Кемеровская Белово,,122.5,0,,,,Алсуфьев Ю.В. Горбачев А.В.,,,,
,,,,,,,,,,,,,,
,,КМС,,46.8,,,,,,0,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Весовая категория 52.0 кг,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Бемова Анна,1988,Тверская,,135,87.5,130,352.5,439.44,Бемов Д.Бемов С.,,,,
,,,,,,,,,,,,,,
,,МС,Тверь,52,,,,МС,,9,,,,
2,Сергеева Ирина,1987,Коми,Рос,145,65,137.5,347.5,,Маляренко А.С.,,,,
,,,,,,,,,,,,,,
,,МС,Сыктывкар,50.8,,,,МС,,12,,,,
3,Кильдешова Ольга,1988,Свердловская,Рос,132.5,70,120,322.5,,Кононов И.,,,,
,,,,,,,,,,,,,,
,,МС,Североуральск,50.9,,,,МС,,Медведева Ю.,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,8,,,,
4,Казакова Екатерина,1988,Мордовия Саранск,Рос,130,62.5,115,307.5,,Холопов А.Б.,,,,
,,,,,,,,,,,,,,
,,КМС,,51.2,,,,МС+,,7,,,,
5,Глушкова Галина,1987,Х-Мансийский Советский,Рос,115,67.5,120,307.5,,Пинженин И.А.,,,,
,,,,,,,,,,,,,,
,,КМС,,51.8,,,,МС+,,6,,,,
