Overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Лист1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Лист4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheet 1: Лист1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Федерация пауэрлифтинга Иркутской области,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ИТОГОВЫЙ ПРОТОКОЛ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Открытое первенство Иркутской области по пауэрлифтингу среди девушек,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 декабря 2011 года,,,,,,,,,,г. Тулун. ДЮСШ. м-н Угольщиков 42б,,,,,,,,,,,,,,,,,,,,
Место,Фамилия. Имя,,год рожд,Разряд,Собств. Вес,Город,Спортивный клуб,,Присед.,Жим,Тяга,Сумма,Очки,Разряд,тренер (Ы),,,,,,,,,,,,,,,
,,,,Звание,,Регион,,,итог,итог,итог,,,Зван ие,,,,,,,,,,,,,,,,
Весовая категория 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Шмидт Надежда,,1996,3,43,Усть-Кут,Юность России,,50,30,70,150,12,2,Степаненко Е.Е. Степаненко В.Б.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Подымахина Яна,,1998,3,3940%,Усть-Кут,Юность России,,45,32.5,70,147.5,9,3,Степаненко В.Б. Степаненко Е.Е.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Весовая категория 47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Андрос Елизавета,,1995,б/р,44.8,Нижне-удинск,ДЮСШ,,57.5,27.5,77.5,162.5,12,3,Пухов Д.А.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Весовая категория 52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Оттева Лариса,,1998,3,48,Усть-Кут,Юность России,,55,40,82.5,177.5,12,3,Степаненко В.Б.. Степаненко Е.Е.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Бондарчук Нина,,1998,б/р,47.8,Харик,ДЮСШ,,35,25,45,105,9,3юн,Костюкевич М.Ю.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Весовая категория 57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Волкова Валентина,,1997,3,55.4,Усть-Кут,Юность России,,52.5,37.5,87.5,177.5,12,1юн,Степаненко В.Б.. Степаненко Е.Е.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Весовая категория 63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Семинидова Анна,,1996,б/р,57.9,Нижне-удинск,ДЮСШ,,75,42.5,112.5,230,12,2,Пухов Д.А.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,жюри,,,,судьи на помосте:,,,,,,ФИО,,,,,,,,,,,,,,,,,
,,ФИО,кат.,Город,,,ФИО,,кат.,,,Секретарь,,Деханов А.С. МК Иркутск,,,,,,,,,,,,,,,,
,Васильев А. Д.,,1,Байкальск,,Старший,Крук Ю.А.,,1,Бирюсинск,,Тех.контролер,,Карпович Е. В. 1 Иркутск,,,,,,,,,,,,,,,,
,Володько В. А.,,1,Иркутск,,Боковой,Макаренко В.И.,,1,Байкальск,,Хронометрист,,Говорин А. С. 1 Иркутск,,,,,,,,,,,,,,,,
,Степаненко,,1,Усть-Кут,,Боковой,Колчанов А. В.,,1,Иркутск,,Ассистенты:,,Акинин Е. В.. Несмеянов А. И,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Федерация пауэрлифтинга Иркутской области,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ИТОГОВЫЙ ПРОТОКОЛ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Открытое первенство Иркутской области по пауэрлифтингу среди юношей,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17 декабря 2011 года,,,,,,,,,,г. Тулун. ДЮСШ. м-н Угольщиков 42б,,,,,,,,,,,,,,,,,,,,
Место,Фамилия. Имя,,год рожд,Разряд,Собств. Вес,Город,Спортивный клуб,,Присед.,Жим,Тяга,Сумма,Очки,Разряд,тренер (Ы),,,,,,,,,,,,,,,
,,,,Звание,,Регион,,,итог,итог,итог,,,Зван ие,,,,,,,,,,,,,,,,
Весовая категория 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Павлов Артем,,1998,3,40.1,Усть-Кут,Юность России,,52.5,50,97.5,200,12,1юн,Степаненко В.Б. Степаненко Е.Е.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Крупенко Максим,,1998,2 юн,41.3,Харик,ДЮСШ,,55,47.5,95,197.5,9,1юн,Костюкевич М.Ю. Иванов Е.Н.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Овчинников Николай,,1998,б/р,40.8,Зима,ДЮСШ,,62.5,35,92.5,190,8,2юн,Нигматулин М.Х.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Смирнов Дмитрий,,1998,б/р,42.6,Киренск,ДЮСШ Гармония,,55,37.5,80,172.5,7,3юн,Кривошеев С.С.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Алексеев Артур,,1999,б/ р,38,Тулун,ДЮСШ,,55,32.5,50,137.5,6,б/р,Подзина Е.А.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Весовая категория 48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Пивень Александр,,1996,2 юн,47.7,Залари,ДЮСШ,,70,55,117.5,242.5,12,,Дианов Н.В.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ефаров Роман,,1996,2,47.1,Братск,ДЮСШ Рекорд,,70,57.5,112.5,240,9,,Герман Л.М.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Рыков Никита,,1998,3,43.5,Усть-Кут,Юность России,,65,47.5,97.5,210,8,,Степаненко Е.Е. Степаненко В.Б.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ульяненко Александр,,1996,2 юн,45.3,Залари,ДЮСШ Рекорд,,65,42.5,100,207.5,7,,Дианов Н.В.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Кудряшов Артем,,1996,б/р,45.3,Бирю-синск,ДЮСШ,,65,40,92.5,197.5,6,,Крук Ю.А.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,жюри,,,,судьи на помосте:,,,,,,ФИО,,,,,,,,,,,,,,,,,
,,ФИО,кат.,Город,,,ФИО,,кат.,,,Секретарь,,Деханов А.С.,,,,,,,,,,,,,,,,
