Place,Name,CyrillicName,BirthYear,WeightClassKg,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment,Sex,Division,BirthDate
1,Irina Starkova,Ирина Старкова,1997,43,42.4,65,35,75,175,SBD,Single-ply,F,Sub-Juniors,
2,Evgeniya Lipina,Евгения Липина,1993,43,42.7,65,30,75,170,SBD,Single-ply,F,Juniors,
3,Alena Mymrikova,Алена Мымрикова,1993,43,42.3,60,30,65,155,SBD,Single-ply,F,Juniors,
4,Mariya Strukova,Мария Струкова,1993,43,42,55,40,60,155,SBD,Single-ply,F,Juniors,
1,Yana Alferova,Яна Алферова,1995,52,51,80,35,80,195,SBD,Single-ply,F,Sub-Juniors,
2,Ekaterina Trubnikova,Екатерина Трубникова,1996,52,50.7,70,35,80,185,SBD,Single-ply,F,Sub-Juniors,
3,Valeriya Lebedeva,Валерия Лебедева,1999,52,51.4,42.5,27.5,60,130,SBD,Single-ply,F,Sub-Juniors,
1,Aleksandra Sivkova,Александра Сивкова,1995,57,57,127.5,70,127.5,325,SBD,Single-ply,F,Sub-Juniors,
2,Alena Markina,Алена Маркина,1998,57,55.6,85,45,95,225,SBD,Single-ply,F,Sub-Juniors,
DQ,Irina Sukhinina,Ирина Сухинина,1995,57,52.7,85,,,,SBD,Single-ply,F,Sub-Juniors,
1,Anastasiya Orlova,Анастасия Орлова,1995,63,57.5,80,45,80,205,SBD,Single-ply,F,Sub-Juniors,
2,Kristina Shtraykhert,Кристина Штрайхерт,1995,63,58.9,65,37.5,92.5,195,SBD,Single-ply,F,Sub-Juniors,
3,Elena Maltseva,Елена Мальцева,1996,63,61.3,42.5,32.5,85,160,SBD,Single-ply,F,Sub-Juniors,
1,Elena Titievskaya,Елена Титиевская,1996,63+,70.5,110,60,130,300,SBD,Single-ply,F,Sub-Juniors,
2,Irina Kondakova,Ирина Кондакова,1993,63+,65,90,57.5,100,247.5,SBD,Single-ply,F,Juniors,
3,Anastasiya Koshkarova,Анастасия Кошкарова,1994,63+,63.1,80,57.5,100,237.5,SBD,Single-ply,F,Sub-Juniors,
4,Kristina Krants,Кристина Кранц,1993,63+,63.3,75,52.5,100,227.5,SBD,Single-ply,F,Juniors,
1,Ilya Samsonov,Илья Самсонов,1999,53,40.5,82.5,45,90,217.5,SBD,Single-ply,M,Sub-Juniors,
2,Dmitriy Rybakov,Дмитрий Рыбаков,1999,53,39.8,60,40,85,185,SBD,Single-ply,M,Sub-Juniors,
1,Kirill Tezikov,Кирилл Тезиков,1997,53,47.1,110,55,110,275,SBD,Single-ply,M,Sub-Juniors,
2,Konstantin Sergushkin,Константин Сергушкин,1999,53,47.6,95,45,95,235,SBD,Single-ply,M,Sub-Juniors,
3,Nikita Leonov,Никита Леонов,1998,53,46.8,62.5,52.5,87.5,202.5,SBD,Single-ply,M,Sub-Juniors,
4,Roman Snopko,Роман Снопко,1997,53,44.9,70,40,80,190,SBD,Single-ply,M,Sub-Juniors,
1,Nikita Solntsev,Никита Солнцев,1998,53,52.7,115,67.5,135,317.5,SBD,Single-ply,M,Sub-Juniors,
2,Nikita Mukharkin,Никита Мухаркин,1998,53,50.9,110,60,132.5,302.5,SBD,Single-ply,M,Sub-Juniors,
3,Vasiliy Ivanchuk,Василий Иванчук,1993,53,52,90,55,115,260,SBD,Single-ply,M,Juniors,
DQ,Ivan Evdokimov,Иван Евдокимов,1997,53,51.8,65,45,,,SBD,Single-ply,M,Sub-Juniors,
