Place,Name,Division,Country,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Squat4Kg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Bench4Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,Deadlift4Kg,TotalKg,WeightClassKg,Sex,CyrillicName,BirthYear,Equipment,Event
1,Pavel Balážik,O,Slovakia,55,110,117.5,125,125,-127.5,82.5,86,90,90,-92.5,145,152.5,160.5,160.5,,375.5,56,M,,1979,Wraps,SBD
1,Ernesto Milian,M6,USA,55.1,-100,-100,100,100,,72.5,77.5,82.5,82.5,,150,160,170,170,,352.5,56,M,,1947,Wraps,SBD
1,Sami Vaskelainen,O,Finland,66.7,170,180,,180,,110,-120,120,120,,210,228,,228,,528,67.5,M,,1984,Wraps,SBD
2,Vincent Bourgeois,O,France,67.3,110,122.5,135,135,,112.5,117.5,-120,117.5,,-130,145,-155,145,,397.5,67.5,M,,1981,Wraps,SBD
1,Henri Vauto,O,Finland,73.5,175,190,200,200,,130,137.5,142.5,142.5,,200,215,220,220,,562.5,75,M,,1987,Wraps,SBD
2,Marko Helynen,O,Finland,74.4,180,195,205,205,,130,137.5,140,140,,190,205,212.5,212.5,217.5,557.5,75,M,,1971,Wraps,SBD
1,Marko Helynen,M1,Finland,74.4,180,195,205,205,,130,137.5,140,140,,190,205,212.5,212.5,217.5,557.5,75,M,,1971,Wraps,SBD
1,Vladlen Astaptsev,M2,Finland,73.7,125,140,145,145,,90,95,100,100,,165,180,-186,180,,425,75,M,,1965,Wraps,SBD
1,Erni Gregorčič,MS,Slovakia,74.3,180,-200,200,200,,130,140,145,145,,200,215,226,226,230,571,75,M,,1976,Wraps,SBD
1,Andrey Mostovenko,J,Germany,82.5,260,280,290,290,,160,172,-180,172,,265,285,300,300,,762,82.5,M,,1990,Wraps,SBD
2,Roberts Stepenko,J,Latvia,81.6,200,210,,210,,110,115,-120,115,,210,220,230,230,,555,82.5,M,,1990,Wraps,SBD
3,Mikhail Tukmakov,J,Russia,79.2,185,192.5,-200,192.5,,110,117.5,-120,117.5,,175,187.5,200,200,,510,82.5,M,Михаил Тукмаков,1990,Wraps,SBD
1,Jan Lindqvist,O,Finland,81.4,200,230,-240,230,,160,165,-170,165,,270,290,-300,290,,685,82.5,M,,1971,Wraps,SBD
2,Angelo Galati,O,Australia,81.4,160,185,200,200,,180,200,-210.5,200,,180,200,220,220,,620,82.5,M,,1968,Wraps,SBD
