Your Federation/Club,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Ifjúsági Fekvenyomó Magyar Bajnokság 2014 - nők,  Mo., Ózd, 22.11.2014",,,,,,,,,,,,,
SCORESHEET,,,,,,,,,,,,,
PL.,Name,BY,Nation,Weight,WF,Lot,1 Att.,2 Att.,3 Att.,RESULT,,W.pts.,Pts.
- 47 kg,,,,,,,,,,,,,
1.,Bartha Szilvia,1999,Darvas,44.95,"1,3879",18,"40,0","50,0","-52,5","50,0",,69.3925,12
- 57 kg,,,,,,,,,,,,,
1.,Endrei Rebeka,1996,RKA Erőm.,54.6,"1,2002",17,"30,0","-42,5","-47,5","30,0",,36.006,12
- 63 kg,,,,,,,,,,,,,
1.,Nagy Nikolett,1999,Toldi SE,59.35,"1,1243",2,"60,0","-65,0","65,0","65,0",,73.0828,12
2.,Kakas Szilvia,1999,Vitalitás,60.1,"1,1134",5,"37,5","42,5","-50,0","42,5",,47.3195,9
- 72 kg,,,,,,,,,,,,,
1.,Balázs Renáta,1996,Toldi SE,68.2,"1,0131",1,"70,0","95,0","-100,0","95,0",,96.2445,12
- 84 kg,,,,,,,,,,,,,
1.,Haklik Dorottya,1996,Toldi SE,83.2,"0,8961",3,"70,0","-100,0","-100,0","70,0",,62.727,12
2.,Tóbiás Mercédesz,1997,Famílya,83.85,"0,8925",4,"60,0","65,0","70,0","70,0",,62.4785,9
84+ kg,,,,,,,,,,,,,
1.,Vajda Fanni,1997,RKA Erőm.,103.6,"0,8245",15,"-75,0","75,0","90,0","90,0",,74.205,12
,,,,,,,,,,,,,
Nation (points),,,,,,,,,,,,,
1.,Orosházi Toldi SE,36,"[12+12+12]   232,05 w.pts.",,,,,"[12+12+12]   232,05 w.pts.",,,,,
2.,RKA Erőművek R.és E.SE,24,"[12+12]   110,21 w.pts.",,,,,"[12+12]   110,21 w.pts.",,,,,
3.,Darvasi Erőemelő SE,12,"[12]   69,39 w.pts.",,,,,"[12]   69,39 w.pts.",,,,,
4.,"Famílya SC, Jászapati",9,"[9]   62,48 w.pts.",,,,,"[9]   62,48 w.pts.",,,,,
5.,"Vitalitás SE, Balassagyarmat",9,"[9]   47,32 w.pts.",,,,,"[9]   47,32 w.pts.",,,,,
,,,,,,,,,,,,,
Best Lifters of Open,,,,,,,,,,,,,
PL.,Lifter,Nation,,B.Weight,,WF,,Result,,,W. points,,
1.,Balázs Renáta,Orosházi Toldi SE,,68.2,,"1,0131",,"95,0",,,96.24,,
2.,Vajda Fanni,RKA Erőművek R.és E.SE,,103.6,,"0,8245",,"90,0",,,74.2,,
3.,Nagy Nikolett,Orosházi Toldi SE,,59.35,,"1,1243",,"65,0",,,73.08,,
,,,,,,,,,,,,,
Abbreviations:,,,,,,,,,,,,,
Darvas = Darvasi Erőemelő SE,,,RKA Erőm. = RKA Erőművek R.és E.SE,,,,,"Vitalitás  = Vitalitás SE, Balassagyarmat",,,,,
"Famílya = Famílya SC, Jászapati",,,Toldi SE = Orosházi Toldi SE,,,,,,,,,,
