Your Federation/Club,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Felnőtt Erőemelő Magyar Bajnokság 2018 - nők,  Mo., Orosháza, 27.10.2018",,,,,,,,,,,,,,,
SCORESHEET,,,,,,,,,,,,,,,
PL.,Name,BY,Nation,Weight,WF,Squat,,Bench.,,Deadlift,,TOTAL,,W.Pts.,Pts.
- 47 kg,,,,,,,,,,,,,,,
1.,Fehér Olívia,1991,Sirius,46.45,"1,3563","75,0",,"40,0",,"85,0",,"200,0",,271.26,12
- 52 kg,,,,,,,,,,,,,,,
1.,Petróczki Magdolna,1968,RKA Erőm.,52,"1,2466","100,0",,"75,0",,"130,0",,"305,0",,380.213,12
2.,Bagi Barbara,1994,Egyetértés,50.9,"1,2673","112,5",,"62,5",,"127,5",,"302,5",,383.3583,9
- 57 kg,,,,,,,,,,,,,,,
1.,Csatlós Klaudia,1990,RKA Erőm.,53.75,"1,2150","105,0",,"55,0",,"130,0",,"290,0",,352.35,12
2.,Rizán Katalin,1987,RKA Erőm.,56.95,"1,1612","75,0",,"75,0",,"110,0",,"260,0",,301.912,9
3.,Szeginé Varga Ibolya,1981,Mérk SE,56.95,"1,1612","85,0",,"37,5",,"100,0",,"222,5",,258.367,8
- 63 kg,,,,,,,,,,,,,,,
1.,Dr. Kiss Anett,1976,Fortius SE,62.85,"1,0759","135,0",,"80,0",,"168,0",,"383,0",,412.0697,12
2.,Bakó Mónika,1997,RKA Erőm.,59.65,"1,1200","112,5",,"70,0",,"120,0",,"302,5",,338.7849,9
3.,Jóni Szonja,1989,RKA Erőm.,61.85,"1,0891","95,0",,"55,0",,"130,0",,"280,0",,304.948,8
- 72 kg,,,,,,,,,,,,,,,
1.,Szívós Rita,1983,VaultHunt,72,"0,9760","155,0",,"115,0",,"160,0",,"430,0",,419.68,12
2.,Farkas Lászlóné,1967,Fortius SE,71.35,"0,9820","115,0",,"100,0",,"140,0",,"355,0",,348.5923,9
3.,Fehér Barbara,1994,RKA Erőm.,67.45,"1,0212","130,0",,"45,0",,"115,0",,"290,0",,296.1335,8
4.,Horváth Tímea,1985,RKA Erőm.,66.45,"1,0322","95,0",,"60,0",,"120,0",,"275,0",,283.8687,7
- 84 kg,,,,,,,,,,,,,,,
1.,Szövérfi Júlia,1978,Fortius SE,83.35,"0,8952","110,0",,"65,0",,"140,0",,"315,0",,282.0038,12
2.,Gaál Kinga,2000,RKA Erőm.,84,"0,8917","115,0",,"65,0",,"135,0",,"315,0",,280.8855,9
84+ kg,,,,,,,,,,,,,,,
1.,Kovács Franciska,2000,RKA Erőm.,89.9,"0,8645","105,0",,"50,0",,"107,5",,"262,5",,226.9313,12
—,Lovas Mónika,1994,Toldi SE,129.7,"0,0000",—,,"115,0",,"190,0",,—,,—,—
,,,,,,,,,,,,,,,
Nation (points),,,,,,,,,,,,,,,
1.,RKA Erőművek R.és E.SE,54,"[12+12+12+9+9]   1600,19 w.pts.",,,,"[12+12+12+9+9]   1600,19 w.pts.",,,,,,,,
2.,Fortius Erőemelő SE.,33,"[12+12+9]   1042,67 w.pts.",,,,"[12+12+9]   1042,67 w.pts.",,,,,,,,
3.,Vault Hunters Szab.és Erőemelő,12,"[12]   419,68 w.pts.",,,,"[12]   419,68 w.pts.",,,,,,,,
4.,Sirius Lifting SE,12,"[12]   271,26 w.pts.",,,,"[12]   271,26 w.pts.",,,,,,,,
5.,Jászladányi Egyetértés SE,9,"[9]   383,36 w.pts.",,,,"[9]   383,36 w.pts.",,,,,,,,
6.,Mérk-Kinizsi SE,8,"[8]   258,37 w.pts.",,,,"[8]   258,37 w.pts.",,,,,,,,
,,,,,,,,,,,,,,,
Best Lifters of Open,,,,,,,,,,,,,,,
PL.,Lifter,Nation,,B.Weight,,WF,,Total,,,W. points,,,,
1.,Szívós Rita,Vault Hunters Szab.és Erőemelő,,72,,"0,9760",,"430,0",,,419.68,,,,
2.,Dr. Kiss Anett,Fortius Erőemelő SE.,,62.85,,"1,0759",,"383,0",,,412.06,,,,
3.,Bagi Barbara,Jászladányi Egyetértés SE,,50.9,,"1,2673",,"302,5",,,383.35,,,,
,,,,,,,,,,,,,,,
Abbreviations:,,,,,,,,,,,,,,,
Egyetértés = Jászladányi Egyetértés SE,,,RKA Erőm. = RKA Erőművek R.és E.SE,,,,,VaultHunt = Vault Hunters Szab.és Erőemelő,,,,,,,
Fortius SE = Fortius Erőemelő SE.,,,Sirius = Sirius Lifting SE,,,,,,,,,,,,
Mérk SE = Mérk-Kinizsi SE,,,Toldi SE = Orosházi Toldi SE,,,,,,,,,,,,
