Name,WeightClassKg,Division,Sex,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment,Place
R. Ruiz,56,Open,M,83.91,47.63,102.06,233.6,SBD,Single-ply,1
J. Lee,60,Open,M,176.9,106.59,167.83,451.32,SBD,Single-ply,1
W. Mikel,60,Open,M,147.42,90.72,158.76,396.89,SBD,Single-ply,2
J. Feliciano,67.5,Open,M,208.65,113.4,204.12,526.17,SBD,Single-ply,1
L. Jones,67.5,Open,M,161.03,108.86,219.99,489.88,SBD,Single-ply,2
T. Ostrowski,67.5,Open,M,167.83,92.99,167.83,428.65,SBD,Single-ply,3
C. Young,75,Open,M,272.16,158.76,249.48,680.39,SBD,Single-ply,1
L. Cox,75,Open,M,222.26,131.54,222.26,576.06,SBD,Single-ply,2
P. Baxtrom,75,Open,M,222.26,113.4,226.8,562.46,SBD,Single-ply,3
A. Walker,75,Open,M,226.8,102.06,183.71,512.56,SBD,Single-ply,4
T. Matthews,82.5,Open,M,201.85,149.69,265.35,616.89,SBD,Single-ply,1
D. Morrison,82.5,Open,M,226.8,158.76,226.8,612.35,SBD,Single-ply,2
D. Hollis,82.5,Open,M,167.83,88.45,165.56,421.84,SBD,Single-ply,3
W. Smith,90,Open,M,249.48,181.44,272.16,703.07,SBD,Single-ply,1
J. Williams,90,Open,M,276.69,142.88,272.16,691.73,SBD,Single-ply,2
C. Marshall,90,Open,M,276.69,136.08,278.96,691.73,SBD,Single-ply,3
John Clay #4,100,Open,M,340.19,192.78,306.18,839.15,SBD,Single-ply,1
J. Miles,100,Open,M,226.8,154.22,238.14,619.15,SBD,Single-ply,2
C. Peter,100,Open,M,167.83,138.35,174.63,480.81,SBD,Single-ply,3
L. Greenlaw,110,Open,M,299.37,179.17,294.84,773.38,SBD,Single-ply,1
Buster Strickland,110+,Open,M,356.07,215.46,269.89,841.41,SBD,Single-ply,1
M. Clark #4,110+,Open,M,233.6,147.42,238.14,619.15,SBD,Single-ply,2
