Name,WeightClassKg,Division,Sex,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment,Place
Harold Escobedo,52,Open,M,157.5,125,177.5,460,SBD,Single-ply,1
Sierra Wallwork-Kamela,52,Open,F,115,67.5,155,337.5,SBD,Single-ply,2
G. Holden,52,Open,M,110,60,140,310,SBD,Single-ply,3
H. Anawa,56,Open,M,152.5,92.5,182.5,427.5,SBD,Single-ply,1
Chris Boillot,60,Open,M,185,112.5,182.5,480,SBD,Single-ply,1
Joe Nickele,67.5,Open,M,220,130,240,590,SBD,Single-ply,1
Frank Lugo,67.5,Open,M,207.5,162.5,217.5,587.5,SBD,Single-ply,2
Mike Picone,67.5,Open,M,182.5,145,210,537.5,SBD,Single-ply,3
Gene Bell,75,Open,M,295,187.5,295,777.5,SBD,Single-ply,1
Steve Scheurn,75,Open,M,237.5,147.5,255,640,SBD,Single-ply,2
Mike Wonyetye,75,Open,M,250,145,237.5,632.5,SBD,Single-ply,3
Chris Lamuto,82.5,Open,M,250,147.5,270,667.5,SBD,Single-ply,1
D. Myers,82.5,Open,M,245,162.5,260,667.5,SBD,Single-ply,2
T. Bartulucci,82.5,Open,M,237.5,125,250,612.5,SBD,Single-ply,3
Ron Parker,90,Open,M,307.5,165,277.5,750,SBD,Single-ply,1
D. Lawrence,90,Open,M,277.5,137.5,287.5,702.5,SBD,Single-ply,2
Ken King,90,Open,M,275,162.5,260,697.5,SBD,Single-ply,3
Rich Woerth,100,Open,M,305,192.5,330,827.5,SBD,Single-ply,1
Dave McGee,100,Open,M,297.5,215,312.5,825,SBD,Single-ply,2
Kit Carson,100,Open,M,327.5,195,300,822.5,SBD,Single-ply,3
Wally Kostelnik,110,Open,M,297.5,165,310,772.5,SBD,Single-ply,1
P. Sikora,110,Open,M,297.5,190,265,752.5,SBD,Single-ply,2
John Roskos,110,Open,M,265,172.5,275,712.5,SBD,Single-ply,3
Tom Tabback,125,Open,M,350,217.5,300,867.5,SBD,Single-ply,3
Hank White,125,Open,M,362.5,232.5,287.5,882.5,SBD,Single-ply,1
Marvin Allen,125,Open,M,362.5,195,317.5,875,SBD,Single-ply,2
Roger Davis #1,125+,Open,M,342.5,242.5,302.5,887.5,SBD,Single-ply,1
Bruce Heidi,125+,Open,M,310,182.5,315,807.5,SBD,Single-ply,2
Dino Barber,125+,Open,M,300,230,275,805,SBD,Single-ply,3
