Name,WeightClassKg,Division,Sex,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment,Place
Freddie Higgins,56,Open,M,165.56,133.81,192.78,492.15,SBD,Single-ply,1
Jack Bunn,56,Open,M,124.74,63.5,156.49,344.73,SBD,Single-ply,2
Pete Scholz,67.5,Open,M,226.8,133.81,240.4,601.01,SBD,Single-ply,1
Keith Maiden,67.5,Open,M,192.78,111.13,204.12,508.02,SBD,Single-ply,2
Sam Beaverly,67.5,Open,M,172.37,111.13,188.24,471.74,SBD,Single-ply,3
Bill Whitlow,75,Open,M,238.14,145.15,251.74,635.03,SBD,Single-ply,1
Tom Denton,75,Open,M,249.48,124.74,242.67,616.89,SBD,Single-ply,2
Ricky York,75,Open,M,222.26,154.22,226.8,603.28,SBD,Single-ply,3
Jack Gibbs,75,Open,M,210.92,145.15,217.72,573.8,SBD,Single-ply,4
Bob Janes,75,Open,M,204.12,136.08,219.99,560.19,SBD,Single-ply,5
Doug Gilbertson,82.5,Open,M,258.55,161.03,249.48,669.05,SBD,Single-ply,1
Tim Weikert,82.5,Open,M,256.28,147.42,256.28,659.98,SBD,Single-ply,2
Tom Fowler,82.5,Open,M,242.67,124.74,235.87,603.28,SBD,Single-ply,3
Brian Malloy,82.5,Open,M,219.99,138.35,233.6,591.94,SBD,Single-ply,4
Dave Randolph,82.5,Open,M,226.8,133.81,217.72,578.33,SBD,Single-ply,5
Kent Denison,82.5,Open,M,185.97,124.74,226.8,537.51,SBD,Single-ply,6
Don Boyle,82.5,Open,M,195.04,117.93,219.99,532.97,SBD,Single-ply,7
Phil Allen,82.5,Open,M,204.12,,195.04,,SBD,Single-ply,DQ
Tom Maupin,90,Open,M,301.64,183.71,260.82,746.16,SBD,Single-ply,1
John Lentsch,90,Open,M,260.82,170.1,283.5,714.41,SBD,Single-ply,2
Skip Gustafson,90,Open,M,229.06,170.1,260.82,659.98,SBD,Single-ply,3
Jeff Nespo,90,Open,M,240.4,140.61,244.94,625.96,SBD,Single-ply,4
J. Dotterweich,90,Open,M,226.8,131.54,226.8,585.13,SBD,Single-ply,5
Vernon Moon,90,Open,M,181.44,136.08,204.12,521.63,SBD,Single-ply,6
Jason Oglesbee,90,Open,M,210.92,145.15,,,SBD,Single-ply,DQ
Loren Hewitt,90,Open,M,,,226.8,226.8,D,Single-ply,7
Randy Schmidt,100,Open,M,299.37,170.1,285.76,755.23,SBD,Single-ply,1
Brad Stevenson,100,Open,M,272.16,167.83,263.08,703.07,SBD,Single-ply,2
Bob Murphy,100,Open,M,249.48,142.88,272.16,664.51,SBD,Single-ply,3
Tim Smith #2,100,Open,M,254.01,136.08,272.16,662.25,SBD,Single-ply,4
Darrel Swanson,100,Open,M,244.94,138.35,215.46,598.74,SBD,Single-ply,5
Larry Burton,100,Open,M,197.31,138.35,238.14,573.8,SBD,Single-ply,6
Duane Green #1,110,Open,M,285.76,185.97,276.69,748.43,SBD,Single-ply,1
Tim Weiter,110,Open,M,258.55,199.58,283.5,741.62,SBD,Single-ply,2
Frank Carson,110,Open,M,256.28,172.37,272.16,700.8,SBD,Single-ply,3
Ted Chapter,110,Open,M,240.4,181.44,258.55,680.39,SBD,Single-ply,4
Mark Gasson,110,Open,M,204.12,142.88,260.82,607.81,SBD,Single-ply,5
Chas Detimmerman,110,Open,M,204.12,,,,SBD,Single-ply,DQ
Tom Henderson #1,125,Open,M,385.55,222.26,362.87,970.69,SBD,Single-ply,1
Brad Kretsch,125,Open,M,317.52,195.04,317.52,830.08,SBD,Single-ply,2
Jerry Hobart,125,Open,M,303.91,181.44,285.76,771.11,SBD,Single-ply,3
Cory Berry,125,Open,M,272.16,195.04,294.84,762.04,SBD,Single-ply,4
Tom Payne,125,Open,M,204.12,161.03,192.78,557.92,SBD,Single-ply,5
