Name,WeightClassKg,Division,AgeRange,Sex,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment,Place
J. Reichart,60,Novice,,M,,167.83,97.52,174.63,439.99,SBD,Single-ply,1
J. Vanairsdale,60,Novice,,M,,142.88,117.93,154.22,415.04,SBD,Single-ply,2
J. Metta,67.5,Novice,,M,,192.78,138.35,210.92,542.04,SBD,Single-ply,1
S. Denmark,67.5,Novice,,M,,195.04,131.54,204.12,530.7,SBD,Single-ply,2
B. Candage,67.5,Novice,,M,,170.1,129.27,181.44,480.81,SBD,Single-ply,3
M. Mezzywor,67.5,Novice,,M,,161.03,111.13,197.31,469.47,SBD,Single-ply,4
A. Cobber,67.5,Novice,,M,,124.74,90.72,147.42,362.87,SBD,Single-ply,5
D. Waller,75,Novice,,M,,190.51,138.35,219.99,548.85,SBD,Single-ply,1
T. Pratt,75,Novice,,M,,172.37,131.54,213.19,517.1,SBD,Single-ply,2
C. Cough,75,Novice,,M,,170.1,108.86,204.12,483.08,SBD,Single-ply,3
J. Smallbine,75,Novice,,M,,172.37,120.2,190.51,483.08,SBD,Single-ply,4
R. Frawley,75,Novice,,M,,158.76,127.01,195.04,480.81,SBD,Single-ply,5
R. Belvoir,75,Novice,,M,,142.88,102.06,165.56,410.5,SBD,Single-ply,6
Ken Wesley,82.5,Novice,,M,,199.58,170.1,256.28,625.96,SBD,Single-ply,1
C. Cray,82.5,Novice,,M,,210.92,115.67,260.82,587.4,SBD,Single-ply,2
J. Horton,82.5,Novice,,M,,215.46,145.15,226.8,587.4,SBD,Single-ply,3
F. Matara,82.5,Novice,,M,,197.31,174.63,215.46,587.4,SBD,Single-ply,4
K. Denmark,82.5,Novice,,M,,170.1,115.67,188.24,474,SBD,Single-ply,5
P. Bergaish,90,Novice,,M,,217.72,158.76,242.67,619.15,SBD,Single-ply,1
G. LaBounty,90,Novice,,M,,233.6,131.54,229.06,594.21,SBD,Single-ply,2
T. Amos,90,Novice,,M,,215.46,136.08,215.46,566.99,SBD,Single-ply,3
M. Peavy,90,Novice,,M,,170.1,92.99,208.65,471.74,SBD,Single-ply,4
C. Berry,100,Novice,,M,,294.84,170.1,260.82,725.75,SBD,Single-ply,1
S. Ivey,100,Novice,,M,,251.74,174.63,267.62,694,SBD,Single-ply,2
K. Sweeney,100,Novice,,M,,249.48,142.88,288.03,680.39,SBD,Single-ply,3
Jim Gaczewski,100,Novice,,M,,249.48,161.03,258.55,669.05,SBD,Single-ply,4
M. Brown,100,Novice,,M,,233.6,161.03,263.08,657.71,SBD,Single-ply,5
David Bennett #6,100,Novice,,M,,249.48,147.42,238.14,635.03,SBD,Single-ply,6
E. Ponce de Leon,100,Novice,,M,,238.14,145.15,249.48,632.76,SBD,Single-ply,7
Robert Bolster,100,Novice,,M,,206.38,113.4,206.38,526.17,SBD,Single-ply,8
P. Grant,110,Novice,,M,,272.16,219.99,274.42,766.57,SBD,Single-ply,1
B. Sheward,110,Novice,,M,,283.5,172.37,272.16,728.02,SBD,Single-ply,2
G. Robinson,110,Novice,,M,,215.46,217.72,272.16,705.34,SBD,Single-ply,3
Bill Tinny,110,Novice,,M,,254.01,176.9,267.62,698.53,SBD,Single-ply,4
J. Olsen,110,Novice,,M,,235.87,156.49,251.74,644.1,SBD,Single-ply,5
R. Silver,125,Novice,,M,,249.48,154.22,281.23,684.93,SBD,Single-ply,1
G. Cunningham,125,Novice,,M,,263.08,140.61,267.62,671.32,SBD,Single-ply,2
M. Storey,125,Novice,,M,,215.46,161.03,244.94,621.42,SBD,Single-ply,3
Anthony McCulley,52,Open,,M,,140.61,117.93,142.88,401.43,SBD,Single-ply,1
J. Boycen,60,Open,,M,,183.71,115.67,181.44,480.81,SBD,Single-ply,1
Tom Thomas,67.5,Open,,M,,217.72,138.35,204.12,560.19,SBD,Single-ply,1
Brian Grant #1,75,Open,,M,,238.14,199.58,263.08,700.8,SBD,Single-ply,1
B. Mitchell,75,Open,,M,,247.21,131.54,276.69,655.44,SBD,Single-ply,2
M. Rosenblum,75,Open,,M,,120.2,81.65,170.1,371.95,SBD,Single-ply,3
Shawn Dillon,82.5,Open,,M,,299.37,163.29,260.82,723.48,SBD,Single-ply,1
Curtis Wright,82.5,Open,,M,,238.14,131.54,288.03,657.71,SBD,Single-ply,2
John Dickson,82.5,Open,,M,,204.12,154.22,215.46,573.8,SBD,Single-ply,3
Dominick Castellano,90,Open,,M,,290.3,176.9,285.76,752.96,SBD,Single-ply,1
J. Candage,90,Open,,M,,274.42,190.51,283.5,748.43,SBD,Single-ply,2
C. Buch,90,Open,,M,,258.55,174.63,278.96,712.14,SBD,Single-ply,3
Bill Remley,90,Open,,M,,181.44,136.08,213.19,530.7,SBD,Single-ply,4
Tim Chrosniak,100,Open,,M,,308.44,170.1,328.85,807.4,SBD,Single-ply,1
M. Coughren,100,Open,,M,,285.76,210.92,294.84,791.52,SBD,Single-ply,2
C. Polak,100,Open,,M,,276.69,181.44,290.3,748.43,SBD,Single-ply,3
C. Morgan,100,Open,,M,,278.96,174.63,294.84,748.43,SBD,Single-ply,4
D. Smitherman,100,Open,,M,,278.96,199.58,260.82,739.36,SBD,Single-ply,5
Craig Pieschke,100,Open,,M,,260.82,188.24,272.16,721.21,SBD,Single-ply,6
Joe Seager,110,Open,,M,,353.8,185.97,340.19,879.97,SBD,Single-ply,1
Herc Roberts,110,Open,,M,,328.85,188.24,299.37,816.47,SBD,Single-ply,2
Lee Jacobs #1,125,Open,,M,,331.12,217.72,319.78,868.63,SBD,Single-ply,1
Jeff Boettner,125,Open,,M,,310.71,215.46,290.3,816.47,SBD,Single-ply,2
Ronnie Walters,125,Open,,M,,294.84,185.97,306.18,786.98,SBD,Single-ply,3
Rusty Irby,125,Open,,M,,272.16,204.12,258.55,734.82,SBD,Single-ply,4
K. Woodard,125+,Open,,M,,335.66,199.58,301.64,836.88,SBD,Single-ply,1
D. Claridy,125+,Open,,M,,294.84,138.35,294.84,728.02,SBD,Single-ply,2
John Sykes,,Masters,40-999,M,114.31,249.48,181.44,272.16,703.07,SBD,Single-ply,1
S. Perez,,Masters,40-999,M,51.26,136.08,68.04,138.35,342.46,SBD,Single-ply,2
Bill Remley,,Masters,40-999,M,84.82,181.44,136.08,213.19,530.7,SBD,Single-ply,3
Carl Blevins,,Masters,40-999,M,88.9,204.12,113.4,229.06,546.58,SBD,Single-ply,4
L. Vargas,,Masters,40-999,M,90.72,204.12,140.61,204.12,548.85,SBD,Single-ply,5
F. Lee,,Masters,40-999,M,116.57,210.92,131.54,249.48,591.94,SBD,Single-ply,6
Tony Castellano,,Masters,40-999,M,89.81,188.24,102.06,210.92,501.22,SBD,Single-ply,7
J. Moore,,Masters,40-999,M,92.08,158.76,95.25,199.58,453.59,SBD,Single-ply,8
Karen Armatrout,,Open,,F,50.8,133.81,63.5,136.08,333.39,SBD,Single-ply,1
Kim Besuden,,Open,,F,59.87,129.27,61.24,158.76,349.27,SBD,Single-ply,2
Ellen Trevorah,,Novice,,F,74.39,140.61,56.7,145.15,342.46,SBD,Single-ply,1
Luana Moore,,Novice,,F,50.35,72.57,38.56,115.67,226.8,SBD,Single-ply,2
Donna Heburn,,Novice,,F,80.74,136.08,65.77,120.2,322.05,SBD,Single-ply,3
