Place,WeightClassKg,Name,BirthDate,Equipment,Team,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Division,Sex,Event
1,69,Stine Mari Einmo Straumbotn,,Raw,Rana KK,64.52,100,115,122.5,122.5,60,67.5,-72.5,67.5,100,115,122.5,122.5,312.5,Teen 14-18,F,SBD
1,84+,Sigrid Jørgensen,,Raw,Rana KK,98.26,100,105,110,110,40,45,50,50,100,107.5,115,115,275,Teen 14-18,F,SBD
1,63,Isabella Toresen,,Single-ply,Bodø Atletklubb,62.97,,,,,-110,110,117.5,117.5,,,,,117.5,Juniors 19-23,F,B
1,63,Katrine Nystad Kvitvær,,Raw,Brønnøy SK,57.92,100,105,-110,105,55,62.5,-67.5,62.5,115,125,130,130,297.5,Open,F,SBD
1,69,Karoline Lauritsen,,Raw,Bodø Atletklubb,66.93,110,115,120,120,52.5,57.5,-62.5,57.5,130,140,-147.5,140,317.5,Open,F,SBD
1,84+,Thilde Solås,,Raw,Bodø Atletklubb,100.32,70,80,90,90,57.5,62.5,-65,62.5,70,90,-102.5,90,242.5,Open,F,SBD
1,66,Aksel Carlsen Loe,,Raw,Rana KK,63.96,165,172.5,180,180,117.5,-122.5,-125,117.5,172.5,185,-192.5,185,482.5,Teen 14-18,M,SBD
1,74,Johannes Andreas Johansen,,Raw,Rana KK,70.49,95,-102.5,107.5,107.5,55,60,65,65,135,145,152.5,152.5,325,Teen 14-18,M,SBD
1,83,Niklas Ruderaas,,Single-ply,SIL Styrkeløftklubb,77.2,-205,210,-220,210,-130,-130,130,130,205,215,235,235,575,Teen 14-18,M,SBD
1,93,Jakob-Andreas Skjevelnes Holthe,,Raw,SIL Styrkeløftklubb,84.83,140,147.5,157.5,157.5,107.5,115,-120,115,172.5,180,190,190,462.5,Teen 14-18,M,SBD
1,83,Magnus Nymark,,Raw,SIL Styrkeløftklubb,78.04,185,200,205,205,95,-105,-105,95,220,232.5,-240,232.5,532.5,Juniors 19-23,M,SBD
1,93,Oliver Sund,,Raw,Rana KK,90.78,185,192.5,197.5,197.5,125,132.5,137.5,137.5,230,237.5,-250,237.5,572.5,Juniors 19-23,M,SBD
1,93,Anders Joakim Halland,,Raw,Brønnøy SK,92.1,240,250,255,255,130,140,145,145,235,245,250,250,650,Open,M,SBD
1,105,Jonas Hanssen Wik,,Raw,Brønnøy SK,99.68,175,185,-195,185,142.5,150,157.5,157.5,195,205,217.5,217.5,560,Open,M,SBD
1,120,Christoffer Nygård,,Single-ply,Rana KK,119.29,320,-322.5,-335,320,210,217.5,-225,217.5,290,305,-312.5,305,842.5,Open,M,SBD
2,120,Kristian Åseng,,Raw,Bodø Atletklubb,118.39,-250,257.5,265,265,157.5,165,-175,165,260,285,290,290,720,Open,M,SBD
1,120+,Gabriel Flavius Anton,,Raw,Bodø Atletklubb,138.41,240,260,-280,260,130,140,155,155,240,250,-255,250,665,Open,M,SBD
2,120+,Benjamin Hansen Lien,,Raw,Brønnøy SK,158.62,217.5,235,-250,235,167.5,172.5,177.5,177.5,215,235,242.5,242.5,655,Open,M,SBD
3,120+,Jonas Hestø,,Raw,Brønnøy SK,151.85,205,215,225,225,115,122.5,125,125,265,285,-300,285,635,Open,M,SBD
1,93,Arild Toven Olafsen,,Raw,Rana KK,91.29,162.5,172.5,182.5,182.5,105,107.5,-110,107.5,190,192.5,195,195,485,Masters 40-49,M,SBD
1,105,Jan Frode Hestås,,Raw,Brønnøy SK,104.38,,,,,135,-140,140,140,,,,,140,Masters 50-59,M,B
G,63,Hanne Guro Buschmann,,Raw,Trondheim Styrkeløftklubb,60.9,95,100,105,105,62.5,70,75,75,155,165,180,180,360,Masters 40-49,F,SBD
G,66,Sivert Helgheim,,Raw,Sande KK,65.44,130,140,145,145,80,85,90,90,205,215,225,225,460,Teen 14-18,M,SBD
G,93,Henrik Høydal Bøe,,Raw,Odin SK,91.1,125,145,155,155,115,130,-140,130,150,180,-200,180,465,Teen 14-18,M,SBD
G,93,Sondre Ausen Idsø,,Raw,Trondheim Styrkeløftklubb,86.81,110,120,130,130,100,110,115,115,60,,,60,305,Teen 14-18,M,SBD
