  ,,,GET YOUR DOMAIN:,,
 ,,,,,
,,,,,
Canterbury Powerlifting Championships 1999,,,,,
,,,,,
6th March 1999,,,,,
Powerhouse Gym,,,,,
,,,,,
Name,Weight Class,Squat,Bench,Deadlift,Total
Woman,,,,,
Jessica Ford,67.5 kg,45,32.5,80,157.5
Kathryn Spellerberg,75 kg,60,67.5,145,272.5
Helen Andrew,75 kg,75,57.5,112.5,245
,,,,,
Men,,,,,
Paul Hotton,60 kg,95,65,170,330
Kevin Coyne,82.5 kg,150,85,180,414
Neil Fox,90 kg,145,127.5,190,462.5
Nathan Gemmill,90 kg,145,90,182.5,417.5
Andrew Joubert,90 kg,137.5,95,175,407.5
Kelvin Osborne,90 kg,135,70,175,380
Tony Kok,100 kg,175,115,200,490
Glen Mackie,100 kg,160,---,175,---
Adam Taylor,125 kg,220,160,262.5,642.5
,,,,,
,,,,,
,,,,,
 ,,,,,
