Place,Name,WeightClassKg,Division,Sex,BirthYear,Team,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Equipment,Event,BirthDate
1,Shikha Garhewal,47,Masters 1,F,1983,M P,46.58,97.5,60,110,267.5,Raw,SBD,
2,Varsha Kelkar,47,Masters 1,F,1978,MAH,46.58,100,50,110,260.0,Raw,SBD,
3,Sapna Jain,47,Masters 1,F,1976,J&K,45.80,80,47.5,122.5,250.0,Raw,SBD,
4,Priti Chaudhari,47,Masters 1,F,1979,MAH,46.74,50,37.5,82.5,170.0,Raw,SBD,
1,Neeta Mehta,52,Masters 1,F,1977,MAH,48.58,102.5,57.5,127.5,287.5,Raw,SBD,
2,Smruti Sahoo,52,Masters 1,F,1981,TEL,51.16,90,47.5,107.5,245.0,Raw,SBD,
3,Donda Umamaheshwari,52,Masters 1,F,1975,KAR,51.40,60,37.5,90,187.5,Raw,SBD,
1,Sharvari Inamdar,57,Masters 1,F,1983,MAH,55.86,140.5,77.5,160,378.0,Raw,SBD,
2,Priyanka Pattanaik,57,Masters 1,F,1981,TEL,53.54,72.5,40,95,207.5,Raw,SBD,
1,Baby Saha,63,Masters 1,F,1982,ASA,61.86,107.5,67.5,137.5,312.5,Raw,SBD,
2,Kavita Thakur,63,Masters 1,F,1983,CHT,58.16,105,57.5,132.5,295.0,Raw,SBD,
3,Sunita Kag,63,Masters 1,F,1982,M P,60.08,112.5,60,122.5,295.0,Raw,SBD,
4,Meghana Dinar Vaikul,63,Masters 1,F,1982,MAH,62.88,112.5,57.5,125,295.0,Raw,SBD,
5,Shikha Singh,63,Masters 1,F,1981,U P,61.50,100,52.5,141,293.5,Raw,SBD,
6,Tarshiya Taranum,63,Masters 1,F,1983,TEL,61.78,100,35,115,250.0,Raw,SBD,
7,Niyati Burman Naik,63,Masters 1,F,1978,ODI,58.90,70,42.5,92.5,205.0,Raw,SBD,
1,Deepa Ajay,69,Masters 1,F,1979,KAR,68.76,147.5,85,167.5,400.0,Raw,SBD,
2,Sushma Verma,69,Masters 1,F,1984,M P,68.26,125,65,135,325.0,Raw,SBD,
3,Sananda Sen,69,Masters 1,F,1983,W B,68.94,112.5,55,145,312.5,Raw,SBD,
4,Sowmya Nuttaki,69,Masters 1,F,1980,TEL,67.54,92.5,52.5,120,265.0,Raw,SBD,
5,Chitra Naidu,69,Masters 1,F,1975,M P,68.78,90,47.5,125,262.5,Raw,SBD,
6,Mina Paul,69,Masters 1,F,1977,W B,64.28,100,45,110,255.0,Raw,SBD,
7,Devshri Patel,69,Masters 1,F,1982,GUJ,67.82,80,62.5,112.5,255.0,Raw,SBD,
DQ,Sumita Biswas,69,Masters 1,F,1982,ASA,66.96,,70,120,,Raw,SBD,
DQ,Alpana Vartak,69,Masters 1,F,1978,HAR,68.52,,37.5,95,,Raw,SBD,
1,Sumitra Kar,76,Masters 1,F,1977,W B,73.52,162.5,72.5,160,395.0,Raw,SBD,
2,Mayani Hemant Kamble,76,Masters 1,F,1983,MAH,74.80,155,80,160,395.0,Raw,SBD,
3,Alifiya Vagh,76,Masters 1,F,1976,KAR,75.30,140,60,170,370.0,Raw,SBD,
4,Punam Mishra,76,Masters 1,F,1979,JHA,74.30,107.5,62.5,117.5,287.5,Raw,SBD,
5,Rekha Sharma,76,Masters 1,F,1976,RAJ,74.02,100,52.5,125,277.5,Raw,SBD,
6,Nisha,76,Masters 1,F,1982,DEL,73.68,95,45,135,275.0,Raw,SBD,
7,Beema Beevi A,76,Masters 1,F,1984,KER,73.84,110,45,120,275.0,Raw,SBD,
8,Dayamayee Mitra,76,Masters 1,F,1982,ASA,73.44,110,55,105,270.0,Raw,SBD,
9,Rajni Malik,76,Masters 1,F,1975,DEL,74.64,100,50,105,255.0,Raw,SBD,
10,S F T Sulthana,76,Masters 1,F,1983,TEL,75.86,105,40,102.5,247.5,Raw,SBD,
11,Vineetha Verma,76,Masters 1,F,1977,KER,75.34,77.5,50,115,242.5,Raw,SBD,
12,Kampa Vara Lakshmi,76,Masters 1,F,1983,A P,69.20,60,30,75,165.0,Raw,SBD,
DQ,Mousumi Takri,76,Masters 1,F,1981,ODI,73.64,,57.5,100,,Raw,SBD,
1,Gulshan Banu Kazi,84,Masters 1,F,1978,KAR,83.26,157.5,72.5,187.5,417.5,Raw,SBD,
2,Annette Gowda,84,Masters 1,F,1984,MAH,82.24,150,77.5,152.5,380.0,Raw,SBD,
3,Umaira C K,84,Masters 1,F,1983,KER,78.90,120,52.5,110,282.5,Raw,SBD,
4,Manju Gupta,84,Masters 1,F,1978,HAR,82.88,90,57.5,120,267.5,Raw,SBD,
5,Shilpa Diggai,84,Masters 1,F,1980,TEL,83.68,100,30,110,240.0,Raw,SBD,
1,Renu Asnani,84+,Masters 1,F,1981,M P,92.60,140,72.5,147.5,360.0,Raw,SBD,
