Place,Name,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Bench4Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,Deadlift4Kg,TotalKg,WeightClassKg,Sex,CyrillicName,BirthYear,Event,Equipment,Division
1,Mykola Shkurynskyy,50.25,117.5,-122.5,122.5,122.5,67.5,-72.5,72.5,72.5,,155,160,-165,160,,355,52,M,Микола Шкуринський,1976,SBD,Single-ply,Open
2,Vitaliy Gurtovoy,50.8,90,-100,100,100,70,-75,-75,70,,125,137.5,145,145,,315,52,M,Віталій Гуртовой,1974,SBD,Single-ply,Open
3,Stepan Ovcharenko,51.75,100,105,110,110,55,60,67.5,67.5,,110,-115,115,115,,292.5,52,M,Степан Овчаренко,1976,SBD,Single-ply,Open
4,Albert Ilyin,46.5,65,70,75,75,-42.5,42.5,-52.5,42.5,,90,95,100,100,,217.5,52,M,Альберт Ільїн,1978,SBD,Single-ply,Open
1,Sergiy Vatyuk,55.5,-160,160,-170,160,115,-125,125,125,,180,190,-205,190,,475,56,M,Сергій Ватюк,1962,SBD,Single-ply,Open
2,Oleksiy Balashov,56,-115,115,120,120,75,80,-85,80,,120,130,135,135,,335,56,M,Олексій Балашов,1975,SBD,Single-ply,Open
1,Vitaliy Arsenyev,58.5,130,140,145,145,100,105,-110,105,,160,170,,170,,420,60,M,Віталій Арсеньєв,1963,SBD,Single-ply,Open
DQ,Oleksiy Markin,59.3,-145,-145,-145,,,,,,,,,,,,,60,M,Олексій Маркін,1974,SBD,Single-ply,Open
1,Mykola Podsosonnyy,66,180,190,-197.5,190,122.5,127.5,,127.5,,252.5,260,265,265,266,582.5,67.5,M,Микола Подсосонний,1952,SBD,Single-ply,Open
2,Roman Zuzuk,67.1,190,200,210,210,135,140,142.5,142.5,,210,230,-232.5,230,,582.5,67.5,M,Роман Зузук,1971,SBD,Single-ply,Open
3,Volodymyr Kovalenko,67.5,215,225,-232.5,225,-127.5,127.5,132.5,132.5,,212.5,220,-227.5,220,,577.5,67.5,M,Володимир Коваленко,1965,SBD,Single-ply,Open
4,Olexandr Nesterenko,67.25,220,-232.5,232.5,232.5,-110,110,-120,110,,220,-235,-235,220,,562.5,67.5,M,Олександр Нестеренко,1953,SBD,Single-ply,Open
