Place,Name,Sex,Event,Division,WeightClassKg,Equipment,BirthYear,Team,Country,State,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Age,BirthDate
1,Elizabeth Wayne,F,SBD,FR-M1,70,Raw,1976,Team Aita,USA,CA,65.5,92.5,97.5,-100,97.5,55,57.5,-60,57.5,125,-127.5,-127.5,125,280,,
1,Molly Starr,F,SBD,FR-M1,75,Raw,1978,,USA,CA,73.75,-110,110,115,115,70,72.5,-77.5,72.5,130,135,137.5,137.5,325,,
1,Danelia Martinez,F,SBD,FR-O,65,Raw,1990,,USA,CA,63.6,77.5,82.5,85,85,35,37.5,-42.5,37.5,85,92.5,100,100,222.5,,
1,Helena Alvarez,F,SBD,FR-O,82.5,Raw,1992,,USA,CA,76.9,145,155,165,165,87.5,92.5,97.5,97.5,157.5,167.5,175,175,437.5,,
1,Catherine Ouyang,F,SBD,FR-T1,56,Raw,2010,,USA,CA,54.95,65,72.5,75,75,45,50,-55,50,75,85,90,90,215,,
1,Olivia Suliga,F,SBD,FR-T1,65,Raw,2010,,USA,CA,60.15,52.5,57.5,-62.5,57.5,40,-42.5,-42.5,40,60,67.5,75,75,172.5,,
1,Phillip Elliott,M,SBD,MR-Jr,100,Raw,2005,,USA,HI,94.1,260,272.5,282.5,282.5,-170,170,-180,170,272.5,287.5,300,300,752.5,,
1,Connor Guinan,M,SBD,MR-Jr,82.5,Raw,2003,,USA,CA,82.35,180,185,-190,185,87.5,-92.5,-92.5,87.5,182.5,-185,-185,182.5,455,,
1,Derek Steer,M,SBD,MR-M1,90,Raw,1985,,USA,CA,90,125,135,142.5,142.5,95,100,-102.5,100,142.5,155,170,170,412.5,,
1,Erik Contreras,M,SBD,MR-M1,100,Raw,1981,,USA,CA,96.5,175,185,187.5,187.5,137.5,142.5,147.5,147.5,185,190,195,195,530,,
2,Sean Kratz,M,SBD,MR-M1,100,Raw,1978,,USA,CA,99.4,140,145,150,150,95,100,105,105,135,140,150,150,405,,
1,Eddie Tejeda,M,SBD,MR-M1,82.5,Raw,1982,,USA,CA,76.6,130,135,-142.5,135,80,-85,-92.5,80,135,142.5,150,150,365,,
1,Roland Dong,M,SBD,MR-M2,60,Raw,1970,,USA,CA,58.55,107.5,115,-122.5,115,77.5,80,82.5,82.5,125,130,137.5,137.5,335,,
1,Chris Sanders,M,SBD,MR-M2,140,Raw,1971,Team Aita,USA,CA,128.1,-195,205,212.5,212.5,132.5,137.5,-140,137.5,220,-230,,220,570,,
1,Jonah Peters,M,SBD,MR-O,75,Raw,1988,,USA,CA,73.85,177.5,187.5,195,195,117.5,125,-127.5,125,220,-232.5,240,240,560,,
1,Oluwafikunwa Kolawole,M,SBD,MR-O,90,Raw,1997,,USA,CA,89.35,220,235,245,245,130,-137.5,-137.5,130,255,267.5,-277.5,267.5,642.5,,
2,Jayson Vavrek,M,SBD,MR-O,90,Raw,1992,,USA,CA,88.4,140,150,,150,82.5,87.5,-92.5,87.5,200,-217.5,-217.5,200,437.5,,
1,Brandon Voges,M,SBD,MR-O,100,Raw,1995,,USA,CA,97,200,210,217.5,217.5,125,130,-132.5,130,250,260,270,270,617.5,,
2,Lorenz Chua,M,SBD,MR-O,100,Raw,1998,,USA,CA,97.5,192.5,205,215,215,147.5,-155,-155,147.5,212.5,227.5,240,240,602.5,,
1,Jeremy Chen,M,SBD,MR-O,67.5,Raw,1990,Team Aita,USA,CA,66.8,165,177.5,182.5,182.5,110,115,-117.5,115,190,200,205,205,502.5,,
1,Alec Quinones,M,SBD,MR-O,82.5,Raw,1995,,USA,CA,81.85,192.5,205,212.5,212.5,120,125,127.5,127.5,210,220,230,230,570,,
1,Dexter Tapp,M,SBD,MR-T1,67.5,Raw,2011,,USA,CA,66.15,105,112.5,120,120,77.5,82.5,92.5,92.5,155,165,175,175,387.5,,
1,Ryan Wong,M,SBD,MR-T2,56,Raw,2009,,USA,CA,52.6,92.5,100,107.5,107.5,72.5,77.5,80,80,127.5,137.5,145,145,332.5,,
1,Timothy Latham,M,SBD,MR-T2,75,Raw,2008,,USA,CA,72.7,175,185,192.5,192.5,105,112.5,-115,112.5,180,200,205,205,510,,
1,Mason Jones,M,SBD,MR-T2,90,Raw,2009,,USA,CA,84.4,157.5,167.5,172.5,172.5,125,132.5,135,135,200,217.5,227.5,227.5,535,,
1,Cesar Lopez,M,SBD,MR-T3,110,Raw,2006,Blackout barbell,USA,CA,107.85,210,230,232.5,232.5,107.5,117.5,120,120,210,230,-245,230,582.5,,
