Place,Name,Sex,Event,Division,WeightClassKg,Equipment,BirthYear,Team,Country,State,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Age,BirthDate
1,Reanna Nguyen,F,SBD,FR-Jr,56,Raw,2002,,USA,MD,54.4,82.5,87.5,-92.5,87.5,40,42.5,-47.5,42.5,102.5,110,115,115.0,245,,
1,Nicole VanZandt,F,SBD,FR-M1,75,Raw,1975,,USA,MD,72.4,87.5,92.5,97.5,97.5,50,-55,-55,50.0,132.5,137.5,-142.5,137.5,285,,
1,Caroline Dare,F,SBD,FR-M2,90,Raw,1970,12 Labours Barbell,USA,MD,87.2,75,-80,82.5,82.5,55,57.5,-62.5,57.5,105,112.5,117.5,117.5,257.5,,
1,Michelle Baylor,F,SBD,FR-M4,75,Raw,1949,,USA,MD,73.4,50,-52.5,55,55.0,27.5,30,-32.5,30.0,95,100,102.5,102.5,187.5,,
1,Rebecca Murphy,F,SBD,FR-O,48,Raw,1993,,USA,MD,45,65,77.5,82.5,82.5,40,45,-52.5,45.0,70,80,87.5,87.5,215,,
1,Amanda Harrison,F,SBD,FR-O,75,Raw,1995,,USA,MD,72.2,105,-107.5,110,110.0,70,75,-80,75.0,120,125,130,130.0,315,,
2,Teresa Lickfeld,F,SBD,FR-O,75,Raw,1994,,USA,MD,73.3,102.5,110,-115,110.0,45,47.5,50,50.0,115,125,132.5,132.5,292.5,,
3,Nicole VanZandt,F,SBD,FR-O,75,Raw,1975,,USA,MD,72.4,87.5,92.5,97.5,97.5,50,-55,-55,50.0,132.5,137.5,-142.5,137.5,285,,
1,Brianna Townsend,F,SBD,FR-O,90,Raw,1992,Team GPT,USA,CT,88.9,150,157.5,167.5,167.5,75,80,-85,80.0,172.5,182.5,-192.5,182.5,430,,
1,Olivia Skurka,F,SBD,FR-O,100,Raw,1998,,USA,VA,92.6,122.5,130,135,135.0,85,90,-95,90.0,127.5,135,-140,135.0,360,,
1,Amy Abel,F,SBD,FR-O,82.5,Raw,1992,,USA,MD,79.9,110,115,120,120.0,52.5,57.5,-62.5,57.5,125,135,142.5,142.5,320,,
1,Christopher Vu,M,SBD,MR-C,100,Raw,2002,Cardinal Powerlifting,USA,MD,97.1,240,-260,262.5,262.5,147.5,-157.5,-160,147.5,230,240,250,250.0,660,,
1,Rupen Singh,M,SBD,MR-Jr,90,Raw,2002,,USA,MD,89.8,175,187.5,200,200.0,105,117.5,-127.5,117.5,205,225,-237.5,225.0,542.5,,
1,Cole Ellis #1,M,SBD,MR-Jr,100,Raw,2002,,USA,MD,97.5,205,-212.5,212.5,212.5,150,157.5,-167.5,157.5,197.5,210,222.5,222.5,592.5,,
1,ANTHONY BRAYTON,M,SBD,MR-M2,75,Raw,1965,,USA,MD,74,115,127.5,135,135.0,82.5,92.5,-97.5,92.5,147.5,-165,177.5,177.5,405,,
1,Sean Lang,M,SBD,MR-M2,110,Raw,1974,Pathfinder Training,USA,MD,104.1,-177.5,177.5,185,185.0,100,105,-110,105.0,180,190,195,195.0,485,,
1,Colin McIlvee,M,SBD,MR-O,90,Raw,2000,,USA,PA,86.3,235,-250,-250,235.0,130,137.5,140,140.0,230,-260,260,260.0,635,,
2,Brennan Williams,M,SBD,MR-O,90,Raw,1994,,USA,DC,84.4,185,195,205,205.0,107.5,-112.5,-112.5,107.5,225,235,-245,235.0,547.5,,
1,Andrew Thong,M,SBD,MR-O,100,Raw,1994,Revolution In Performance,USA,MD,96.9,167.5,177.5,185,185.0,127.5,135,140,140.0,190,202.5,-210,202.5,527.5,,
1,Hani Traboulsi,M,SBD,MR-O,110,Raw,1997,,USA,PA,108.1,205,-217.5,217.5,217.5,132.5,137.5,-145,137.5,240,252.5,-265,252.5,607.5,,
2,Philip McLemore,M,SBD,MR-O,110,Raw,1995,Pathfinder Training,USA,MD,106.1,120,-125,125,125.0,90,95,100,100.0,175,185,195,195.0,420,,
1,Philip McLemore,M,SBD,MR-SO,110,Raw,1995,Pathfinder Training,USA,MD,106.1,120,-125,125,125.0,90,95,100,100.0,175,185,195,195.0,420,,
1,Mason Hitesman,M,SBD,MR-T3,110,Raw,2006,,USA,MD,107.6,202.5,220,232.5,232.5,102.5,110,-112.5,110.0,225,250,257.5,257.5,600,,
