Place,Sex,Name,Event,Division,WeightClassKg,Equipment,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,BirthYear
2,M,Jeff Douglas #2,BD,MR-Jr,75,Raw,73.6,,122.5,185,307.5,1963
1,M,Tyler Brockner,B,MR-O,100,Raw,94.3,,117.5,,117.5,
1,M,Steve Petrencak,B,MR-M1b,67.5,Raw,66.8,,137.5,,137.5,1968
1,M,Jason Ross,B,MR-M1b,82.5,Raw,82.3,,155,,155,1969
1,M,Gary Reale,B,MR-M3a,75,Raw,74.1,,95,,95,1953
1,F,Brianna Baker,B,FR-T2,52,Raw,51.2,,55.5,,55.5,1998
DD,M,Denny Yanoscik,SBD,MR-M4a,100,Raw,93.8,60,60,60,,
1,M,Drew Dyson,SBD,MR-T1,60,Raw,58.7,72.5,60,117.5,250,2000
1,M,Justin Mayberry,SBD,MR-T3,60,Raw,60,102.5,70,160,332.5,1995
1,M,Alex McQuillen,SBD,MR-T3,67.5,Raw,66.8,157.5,105,192.5,455,1995
1,M,Tony Mathews,SBD,MR-T3,75,Raw,74.1,192.5,122.5,202.5,517.5,1995
1,M,Pete Fischer,SBD,MR-T3,82.5,Raw,79.8,185,122.5,242.5,550,1995
1,M,Austin Ramsey,SBD,MR-T3,100,Raw,99,230,135,237.5,602.5,1996
1,M,Avery Clark #3,SBD,M-T2,67.5,Single-ply,66.4,132.5,102.5,200,435,2000
1,M,Binh Nguyen,SBD,MR-Jr,60,Raw,59.3,120,80,100,300,1993
1,M,Graham Coghlan,SBD,MR-Jr,75,Raw,73.8,175,110,212.5,497.5,1994
1,M,Matthew Guzik,SBD,MR-Jr,82.5,Raw,79.8,222.5,135,257.5,615,1992
2,M,Keith Schneider,SBD,MR-Jr,82.5,Raw,76.5,185,120,250,555,1992
1,M,Dan Artmayer,SBD,MR-Jr,90,Raw,89.7,230,152.5,265,647.5,1993
2,M,Sean Moser,SBD,MR-Jr,90,Raw,88.5,200,165,260,625,1993
3,M,Shawn Stickely,SBD,MR-Jr,90,Raw,87,215,122.5,235,572.5,
4,M,Jeremy Diamond,SBD,MR-Jr,90,Raw,82.8,175,125,212.5,512.5,
5,M,Logan Awwiller,SBD,MR-Jr,90,Raw,86.4,167.5,120,202.5,490,1992
1,M,Dean McFarlin,SBD,MR-Jr,100,Raw,97.2,197.5,122.5,215,535,1991
2,M,Joseph Fazio,SBD,MR-Jr,100,Raw,96.2,167.5,150,212.5,530,1991
3,M,Abe Chevlin,SBD,MR-Jr,100,Raw,91.2,177.5,117.5,217.5,512.5,
1,M,Tyler Cook,SBD,MR-Jr,110,Raw,107.1,232.5,167.5,285,685,1991
1,M,Ron Brinker,SBD,MR-O,60,Raw,59.8,145,75,150,370,1975
1,M,Kevin Bombik,SBD,MR-O,67.5,Raw,66,180,115,217.5,512.5,1985
1,M,Billy Luther,SBD,MR-O,75,Raw,74.4,192.5,132.5,227.5,552.5,1991
2,M,Zeesha Braslawscce,SBD,MR-O,75,Raw,73.1,177.5,112.5,190,480,
