Name,Place,Division,Sex,Equipment,Weight Class,Bodyweight,Age,BestSquatKg,BestBenchKg,BestDeadliftKg,Deadlift4Kg,TotalKg,Wilks,SquatLBS,BenchLBS,DeadliftLBS,Deadlift4LBS,TotalLBS
Shelby Lopez,1,114 Junior Women 13-15 Raw,F,Raw,114,113.6,13,60,47.5,85,,192.5,309.336,132.28,104.72,187.39,,424.39
Ashleigh Pitts,1,123 Junior Women 16-17 Raw,F,Raw,123,121,16,87.5,60,117.5,,265,357.93,192.9,132.28,259.04,,584.22
Justin Cook,1,165 Junior Men 18-19 Raw,M,Raw,165,165.4,18,135,100,185,,420,317.159,297.62,220.46,407.85,,925.93
Jesse Aguirre,1,165 Junior Men 20-23 Raw,M,Raw,165,153.2,20,140,102.5,205,218,447.5,347.353,308.64,225.97,451.94,480.5,986.56
Marvin Valdez,2,165 Junior Men 20-23 Raw,M,Raw,165,156.8,20,140,82.5,172.5,,395,301.235,308.64,181.88,380.29,,870.82
Carlo Biscocho,3,165 Junior Men 20-23 Raw,M,Raw,165,158.6,21,125,77.5,170,,372.5,278.942,275.58,170.86,374.78,,821.21
Mike Kaplan,DQ,181 Master Men 55-59 Raw,M,Raw,181,175.4,56,155,110,-170,,,,341.71,242.51,-374,,O
Robby McLaughlin,1,198 Open Men Raw,M,Raw,198,198,26,227.5,192.5,245,,665,424.984,501.55,424.39,540.13,,1466.06
Joshua Hyman,2,198 Open Men Raw,M,Raw,198,196.6,38,157.5,122.5,227.5,,507.5,325.516,347.22,270.06,501.55,,1118.83
Joshua Hyman,1,198 Submaster Men 35-39 Raw,M,Raw,198,196.6,38,157.5,122.5,227.5,,507.5,338.537,347.22,270.06,501.55,,1118.83
Joe Segura,1,220 Junior Men 20-23 Raw,M,Raw,220,213.2,23,185,105,235,,525,323.998,407.85,231.48,518.08,,1157.42
Corey Grund,1,220 Open Men Raw,M,Raw,220,208.4,26,205,152.5,237.5,,595,370.943,451.94,336.2,523.59,,1311.74
Joe Segura,2,220 Open Men Raw,M,Raw,220,213.2,23,185,105,235,,525,323.998,407.85,231.48,518.08,,1157.42
Addison Turney,3,220 Open Men Raw,M,Raw,220,211.8,25,170,122.5,170,,462.5,286.251,374.78,270.06,374.78,,1019.63
Gregory Santacruz,1,242 Junior Men 20-23 Raw,M,Raw,242,235,23,190,177.5,250,,617.5,367.083,418.87,391.32,551.15,,1361.34
Bartholomew Ryan,2,242 Junior Men 20-23 Raw,M,Raw,242,231.2,23,157.5,117.5,220,,495,295.916,347.22,259.04,485.01,,1091.28
Robert Galli,1,242 Open Men Raw,M,Raw,242,222.4,26,210,167.5,255,,632.5,383.602,462.97,369.27,562.17,,1394.41
Michael Wiegers,2,242 Open Men Raw,M,Raw,242,227.2,31,167.5,117.5,235,,520,312.824,369.27,259.04,518.08,,1146.39
David Lemmel,1,275 Open Men Raw,M,Raw,275,265.6,35,217.5,182.5,237.5,,637.5,366.178,479.5,402.34,523.59,,1405.43
Evan Knutson,2,275 Open Men Raw,M,Raw,275,271.4,41,215,165,247.5,,627.5,358.716,473.99,363.76,545.64,,1383.39
