Name,Place,Division,Sex,Equipment,State,Weight Class,Bodyweight,Age,SquatKg,SquatKg4,BenchKg,BenchKg4,DeadliftKg,DeadliftKg4,TotalKg,Wilks,SquatLBS,SquatLBS4,BenchLBS,BenchLBS4,DeadliftLBS,DeadliftLBS4,TotalLBS
Sarah Ritzius,1,114 Junior Women 20-23 Raw,F,Raw,IL,114,109.00,21,75.00,,47.50,,102.50,,225.00,297.333,165.35,,104.72,,225.97,,496.04
Jen Walker,1,123 Open Women Raw,F,Raw,IL,123,120.80,28,62.50,,35.00,,87.50,92.5,185.00,221.416,137.79,,77.16,,192.90,203,407.85
Tisha Timan,1,123 Submaster Women 35-39 Raw,F,Raw,IL,123,123.40,35,77.50,,50.00,,102.50,,230.00,273.425,170.86,,110.23,,225.97,,507.06
Melissa Klein,1,132 Master Women 40-44 Raw,F,Raw,IL,132,126.00,40,110.00,,62.50,,137.50,,310.00,358.967,242.51,,137.79,,303.13,,683.43
Teddi Burress,1,165 Master Women 40-44 Raw,F,Raw,IL,165,159.80,42,82.50,,52.50,,125.00,,260.00,257.698,181.88,,115.74,,275.58,,573.20
Kristi Meyer,1,165 Open Women Raw,F,Raw,IL,165,159.20,22,120.00,,67.50,68.5,142.50,,330.00,321.463,264.55,,148.81,151,314.16,,727.52
Karin McDowell,1,165 Submaster Women 35-39 Raw,F,Raw,IL,165,164.20,35,90.00,,50.00,,107.50,,247.50,238.678,198.41,,110.23,,236.99,,545.64
Kristi Meyer,1,165 Junior Women 20-23 Raw,F,Raw,IL,165,159.20,22,120.00,,67.50,68.5,142.50,,330.00,324.678,264.55,,148.81,151,314.16,,727.52
Morgan Dial,2,165 Junior Women 20-23 Raw,F,Raw,IL,165,161.60,20,120.00,,60.00,,142.50,,322.50,320.424,264.55,,132.28,,314.16,,710.98
Emily Ryan,3,165 Junior Women 20-23 Raw,F,Raw,IL,165,149.60,22,55.00,,42.50,,82.50,,180.00,184.848,121.25,,93.70,,181.88,,396.83
McKenna Herald,1,181 Junior Women 13-15 Raw,F,Raw,IL,181,177.20,15,97.50,,47.50,,107.50,,252.50,271.917,214.95,,104.72,,236.99,,556.66
Laura Verplaetse,1,181 Junior Women 18-19 Raw,F,Raw,IL,181,173.80,18,87.50,,45.00,,105.00,,237.50,232.269,192.90,,99.21,,231.48,,523.59
McKenna Herald,1,181 Open Women Raw,F,Raw,IL,181,177.20,15,97.50,,47.50,,107.50,,252.50,230.438,214.95,,104.72,,236.99,,556.66
Ashley Petrinec,1,198 Open Women Raw,F,Raw,IL,198,193.80,26,107.50,,62.50,,117.50,,287.50,250.940,236.99,,137.79,,259.04,,633.82
Joshua Stracner,1,148 Junior Men 18-19 Raw,M,Raw,IL,148,148.60,18,137.50,,117.50,,155.00,,410.00,335.463,303.13,,259.04,,341.71,,903.89
Daniel Smith,2,148 Junior Men 18-19 Raw,M,Raw,IN,148,145.20,19,120.00,,87.50,,142.50,,350.00,286.303,264.55,,192.90,,314.16,,771.61
Tom Wadas,1,148 Junior Men 20-23 Raw,M,Raw,IL,148,146.80,23,197.50,200,105.00,,195.00,,497.50,387.813,435.41,440,231.48,,429.90,,1096.79
Brad Austermuehle,1,165 Junior Men 18-19 Raw,M,Raw,IL,165,163.40,19,180.00,,97.50,,182.50,,460.00,343.732,396.83,,214.95,,402.34,,1014.12
David Horner,1,165 Master Men 40-44 Raw,M,Raw,IL,165,163.00,42,192.50,,150.00,,232.50,,575.00,422.135,424.39,,330.69,,512.57,,1267.65
David Horner,1,165 Open Men Raw,M,Raw,IL,165,163.00,42,192.50,,150.00,,232.50,,575.00,413.858,424.39,,330.69,,512.57,,1267.65
Thomas Robertson-Truong,2,165 Open Men Raw,M,Raw,IL,165,163.40,26,127.50,,97.50,,197.50,,422.50,303.568,281.09,,214.95,,435.41,,931.44
Josh Dubson,DQ,165 Open Men Raw,M,Raw,IL,165,165.20,27,172.50,,-125.00,,207.50,,O,,380.29,,-275.00,,457.45,,O
Eric Chapman,1,181 Junior Men 20-23 Raw,M,Raw,IL,181,176.80,20,165.00,,97.50,,207.50,,470.00,329.986,363.76,,214.95,,457.45,,1036.16
Corey Phillips,2,181 Junior Men 20-23 Raw,M,Raw,MO,181,175.40,22,92.50,,115.00,,92.50,,300.00,207.580,203.93,,253.53,,203.93,,661.38
Donovan Muldrow,1,181 Open Men-Raw,M,Raw,IL,181,177.80,26,205.00,,140.00,,272.50,,617.50,419.437,451.94,,308.64,,600.75,,1361.34
Zach Roberts,2,181 Open Men-Raw,M,Raw,IL,181,181.00,28,160.00,,100.00,,197.50,,457.50,307.377,352.74,,220.46,,435.41,,1008.60
Dalton Stracner,1,198 Junior Men 16-17 Raw,M,Raw,IL,198,196.40,16,167.50,,117.50,,230.00,,515.00,373.466,369.27,,259.04,,507.06,,1135.37
Brian Baroud,1,198 Junior Men 20-23 Raw,M,Raw,IL,198,193.40,20,182.50,,132.50,,250.00,,565.00,376.509,402.34,,292.11,,551.15,,1245.60
Hasan Cheema,1,198 Open Men Raw,M,Raw,IL,198,195.40,25,215.00,,152.50,,282.50,,650.00,418.250,473.99,,336.20,,622.80,,1432.99
Ken Nowatski,2,198 Open Men Raw,M,Raw,IL,198,191.20,24,172.50,,112.50,,215.00,,500.00,325.498,380.29,,248.02,,473.99,,1102.30
Kevin Visser,3,198 Open Men Raw,M,Raw,IL,198,195.00,27,160.00,,100.00,,185.00,,445.00,286.649,352.74,,220.46,,407.85,,981.05
Sean Carbonaro,1,220 Open Men Raw,M,Raw,IL,220,212.40,24,200.00,,140.00,,227.50,,567.50,350.801,440.92,,308.64,,501.55,,1251.11
Jeffery Schusler,2,220 Open Men Raw,M,Raw,IL,220,206.20,24,187.50,,125.00,,217.50,,530.00,332.047,413.36,,275.58,,479.50,,1168.44
Joe Grant,DQ,242 Junior Men 16-17 Raw,M,Raw,IL,242,237.60,17,-185.00,,112.50,,192.50,,O,,-407.85,,248.02,,424.39,,O
Greg Osborne,1,275 Open Men Raw,M,Raw,IL,275,260.80,34,215.00,,185.00,,280.00,,680.00,392.276,473.99,,407.85,,617.29,,1499.13
Rich Brecklin,1,181 Open Men Classic,M,Wraps,IL,181,179.60,31,157.50,,125.00,,195.00,,477.50,322.332,347.22,,275.58,,429.90,,1052.70
