Name,Place,Division,Sex,Equipment,State,WeightClassKg,BodyweightKg,Age,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
Kristie Buccellatta,1,Open Women,F,Raw,FL,48,47.90,23,82.50,70.00,117.50,270.00,358.143
Paula Hill,1,Open Women,F,Raw,FL,60,59.87,28,110.00,62.50,130.00,302.50,337.800
Gaudy Herring,2,Open Women,F,Raw,FL,60,59.15,36,80.00,55.00,105.00,240.00,270.557
Shelby Talon,1,Open Women,F,Raw,FL,67.5,65.59,19,122.50,55.00,162.50,340.00,354.323
Nina Anton,2,Open Women,F,Raw,FL,67.5,65.50,35,67.50,42.50,100.00,210.00,219.070
Amanda Rich,1,Open Women,F,Raw,FL,75,70.08,28,122.50,60.00,115.00,297.50,295.731
Lindsey Walker,DQ,Open Women,F,Raw,FL,75,,29,,,,,
Natalie Anton,1,Open Women,F,Raw,FL,90+,104.51,26,137.50,70.00,150.00,357.50,294.112
Mandy Railing,2,Open Women,F,Raw,FL,90+,99.79,39,122.50,55.00,147.50,325.00,270.756
Celeste Bowie,1,Submaster Women 35-39,F,Raw,FL,75,68.54,35,77.50,47.50,92.50,217.50,219.58
Brenda Luning,1,Master Women 45-49,F,Raw,FL,56,55.97,46,112.50,60.00,150.00,322.50,379.61
Julia Hamilton,1,Master Women 40-44,F,Raw,FL,67.5,63.78,41,82.50,55.00,115.00,252.50,268.67
Dena Wells,2,Master Women 40-44,F,Raw,FL,67.5,60.74,43,82.50,47.50,102.50,232.50,256.77
Wendee Bartness,1,Master Women 45-49,F,Raw,FL,67.5,66.18,45,105.00,67.50,125.00,297.50,308.01
Courtenay Khoury,1,Master Women 55-59,F,Raw,FL,67.5,66.95,56,87.50,60.00,122.50,270.00,277.20
Debbie Futch,2,Master Women 55-59,F,Raw,FL,67.5,62.41,55,67.50,42.50,105.00,215.00,232.56
Daniel Young,1,Junior Men 20-23,M,Raw,FL,67.5,66.13,21,140.00,107.50,162.50,410.00,321.41
Josh Cintron,1,Junior Men 20-23,M,Raw,FL,82.5,82.19,23,205.00,142.50,230.00,577.50,387.742
Matt Schoolden,2,Junior Men 20-23,M,Raw,FL,82.5,81.65,22,185.00,157.50,217.50,560.00,377.50
Paul Hartigan,3,Junior Men 20-23,M,Raw,FL,82.5,79.97,23,170.00,127.50,205.00,502.50,343.139
Wallace Frigor,4,Junior Men 20-23,M,Raw,FL,82.5,81.28,23,157.50,102.50,185.00,445.00,300.804
Nicolas Scali,DQ,Junior Men 20-23,M,Raw,FL,82.5,,20,,,,,
Drew Parker,1,Junior Men 18-19,M,Raw,FL,90,89.63,19,185.00,125.00,247.50,557.50,356.65
Yannis Cavalie,1,Junior Men 20-23,M,Raw,FL,90,89.22,21,205.00,145.00,227.50,577.50,370.32
Jesse McGrath,1,Junior Men 18-19,M,Raw,FL,100,98.52,18,235.00,142.50,287.50,665.00,407.18
Evan Grossman,1,Junior Men 20-23,M,Raw,FL,100,98.20,22,142.50,160.00,225.00,527.50,323.42
Brandon Jeter,1,Junior Men 18-19,M,Raw,FL,110,102.38,19,247.50,145.00,257.50,650.00,391.99
James McGrath,1,Junior Men 20-23,M,Raw,FL,125,124.01,21,250.00,165.00,317.50,732.50,418.09
Daniel Carpenter,1,Open Men,M,Raw,FL,67.5,66.36,35,190.00,122.50,237.50,550.00,429.931
Joseph Oliver,1,Open Men,M,Raw,FL,75,74.43,25,152.50,92.50,207.50,452.50,324.144
Yandy Roman,1,Open Men,M,Raw,FL,82.5,78.88,27,185.00,135.00,205.00,525.00,361.652
David Szura,2,Open Men,M,Raw,FL,82.5,82.10,34,157.50,122.50,182.50,462.50,310.736
Trevor Jaffe,1,Open Men,M,Raw,FL,90,89.63,34,252.50,155.00,302.50,710.00,454.212
Michael Moussa,2,Open Men,M,Raw,FL,90,88.13,32,227.50,125.00,215.00,567.50,366.253
Sean Simpson,1,Open Men,M,Raw,FL,100,90.13,24,200.00,157.50,272.50,630.00,401.894
Patrick O'Reilly,2,Open Men,M,Raw,FL,100,97.57,26,215.00,150.00,265.00,630.00,387.320
Luis Guillernies,3,Open Men,M,Raw,FL,100,99.43,33,155.00,97.50,212.50,465.00,283.648
Henry Moore,1,Open Men,M,Raw,FL,110,108.64,27,212.50,167.50,260.00,640.00,378.105
Anthony Echols,1,Open Men,M,Raw,FL,125,119.52,25,277.50,210.00,290.00,777.50,447.418
Geoffrey Shaffer,2,Open Men,M,Raw,FL,125,118.66,33,240.00,170.00,272.50,682.50,393.427
Ken Morris,1,Open Men,M,Raw,FL,140,128.28,29,272.50,200.00,320.00,792.50,449.330
Shawn Murray,2,Open Men,M,Raw,FL,140,127.50,36,247.50,152.50,245.00,645.00,366.117
Robert Melgar,1,Submaster Men 35-39,M,Raw,FL,100,96.43,35,160.00,147.50,182.50,490.00,302.78
Patrick Ferguson,DQ,Submaster Men 35-39,M,Raw,FL,100,,37,,,,,
Shawn Murray,1,Submaster Men 35-39,M,Raw,FL,140,127.50,36,247.50,152.50,245.00,645.00,366.12
Brian Burnbaum,1,Master Men 50-54,M,Raw,FL,82.5,80.78,50,167.50,130.00,215.00,512.50,347.77
Josh Smith,1,Master Men 40-44,M,Raw,FL,100,98.93,42,185.00,142.50,252.50,580.00,354.52
Matthew Wells,1,Master Men 45-49,M,Raw,FL,125,115.94,45,165.00,125.00,227.50,517.50,300.05
Lisa Rothman,1,Open Women,F,Wraps,FL,48,47.45,38,120.00,62.50,162.50,345.00,460.822
James Barnum,1,Open Men,M,Wraps,FL,75,74.93,27,155.00,90.00,197.50,442.50,315.501
AJ Loreto,1,Open Men,M,Wraps,FL,90,89.58,27,257.50,160.00,302.50,720.00,460.729
Adam Cantrell,1,Open Men,M,Wraps,FL,100,99.84,25,272.50,190.00,285.00,747.50,455.218
Geoffrey Shaffer,1,Open Men,M,Wraps,FL,125,118.61,33,240.00,170.00,272.50,682.50,393.463
Michael King,DQ,Open Men,M,Wraps,FL,125,118.66,35,252.50,-195.00,307.50,,
Michael King,DQ,Submaster Men 35-39,M,Wraps,FL,125,118.66,35,252.50,-195.00,307.50,,
Scott Iardella,1,Master Men 45-49,M,Wraps,FL,75,74.53,46,162.50,97.50,182.50,442.50,316.70
Dean Bartness,1,Master Men 45-49,M,Wraps,FL,90,88.95,45,215.00,150.00,235.00,600.00,385.36
Al Laporte,1,Master Men 50-54,M,Wraps,FL,100,97.75,51,200.00,165.00,240.00,605.00,371.66
Brian Kadien,1,Master Men 40-44,M,Wraps,FL,110,107.82,43,202.50,160.00,255.00,617.50,365.70
Dottie Suhudeo,1,Master Women 55-59,F,Raw,FL,52,51.35,59,,50.00,,50.00,62.94
Andrew Ardeljan,1,Junior Men 18-19,M,Raw,FL,90,89.86,19,,165.00,,165.00,105.42
Garrett Goins,1,Junior Men 20-23,M,Raw,FL,100,99.61,20,,175.00,,175.00,106.67
David Huber,1,Open Men,M,Raw,SC,90,87.91,29,,172.50,,172.50,111.481
Wayne Mayberry,1,Master Men 40-44,M,Single-ply,FL,140,138.25,43,,250.00,,250.00,139.97
Edward Kranski,1,Open Men,M,Single-ply,FL,110,108.41,47,,,295.00,295.00,174.399
Edward Kranski,1,Master Men 45-49,M,Single-ply,FL,110,108.41,47,,,295.00,295.00,174.40
William Coyne,1,Junior Men 20-23,M,Raw,FL,90,88.31,21,,150.00,215.00,365.00,235.31
Al Laporte,1,Master Men 50-54,M,Raw,FL,100,97.75,51,,165.00,240.00,405.00,248.80
