,Name,State,Class,Weight,Age,SQ1,SQ2,SQ3,BP1,BP2,BP3,DL1,DL2,DL3,Total Kg,Dots Total,McC Total
,Women Raw  Powerlifting,,,Jr,,,,,,,,,,,,,
,100kg Jr 20-23,,,,,,,,,,,,,,,,
1,Amanda Michelle Jimenez,CA,100kg,99.3,22,145,155,-165,-62.5,62.5,72.5,165,175,185,412.5,352.972,
,,,,,,,,,,,,,,,,,
,Women Raw  Powerlifting,,,Open,,,,,,,,,,,,,
,110kg Open,,,,,,,,,,,,,,,,
1,Itzel Diaz,CA,110kg,107,32,82.5,95,100,55,-60,60,130,140,147.5,307.5,255.902,
,,,,,,,,,,,,,,,,,
,Women Raw  Powerlifting,,,Submaster,,,,,,,,,,,,,
,110kg Submaster,,,,,,,,,,,,,,,,
DQ,Crystal Gonzalez,CA,110kg,103.6,36,-162.5,-165,-165,80,-82.5,-82.5,170,-177.5,-177.5,0,,
,,,,,,,,,,,,,,,,,
,Women Raw  Deadlift Only,,,Jr,,,,,,,,,,,,,
,100kg Jr 20-23,,,,,,,,,,,,,,,,
1,Amanda Michelle Jimenez,CA,100kg,99.3,22,,,,,,,165,175,185,185,158.303,
,,,,,,,,,,,,,,,,,
,Men Raw  Powerlifting,,,Jr,,,,,,,,,,,,,
,82.5kg Jr 18-19,,,,,,,,,,,,,,,,
DQ,Robert Heipley,CA,82.5kg,80.3,19,180,190,-197.5,-145,-152.5,-152.5,190,200,-215,0,,
,,,,,,,,,,,,,,,,,
,Men Raw  Powerlifting,,,Jr,,,,,,,,,,,,,
,90kg Jr 18-19,,,,,,,,,,,,,,,,
1,Libero Somaini,CA,90kg,88.8,19,190,200,207.5,107.5,115,-120,200,220,-240,542.5,353.182,
,,,,,,,,,,,,,,,,,
,Men Raw  Powerlifting,,,Jr,,,,,,,,,,,,,
,90kg Jr 20-23,,,,,,,,,,,,,,,,
1,Frankie Solares,CA,90kg,86.6,22,210,217.5,227.5,132.5,142.5,147.5,220,235,250,625,412.254,
,,,,,,,,,,,,,,,,,
,Men Raw  Powerlifting,,,Jr,,,,,,,,,,,,,
,100kg Jr 20-23,,,,,,,,,,,,,,,,
1,Jovanni Nava,CA,100kg,93.4,22,167.5,177.5,-185,127.5,-135,-135,245,260,-272.5,565,358.743,
,,,,,,,,,,,,,,,,,
,Men Raw  Powerlifting,,,Open,,,,,,,,,,,,,
,82.5kg Open,,,,,,,,,,,,,,,,
1,Zak Jalali,CA,82.5kg,81.4,26,260,-272.5,275,135,140,-142.5,-250,257.5,265,680,464.174,
2,Sage Stokes,CA,82.5kg,80.2,34,-240,-245,245,140,145,147.5,-257.5,257.5,-275,650,447.547,
DQ,Ivan Ramos,CA,82.5kg,81.7,28,-200,-205,-210,135,145,150,210,-220,220,0,,
,,,,,,,,,,,,,,,,,
,Men Raw  Powerlifting,,,Open,,,,,,,,,,,,,
,90kg Open,,,,,,,,,,,,,,,,
1,Devin Topete,CA,90kg,89.4,24,215,232.5,-242.5,-125,142.5,155,265,282.5,-300,670,434.691,
,,,,,,,,,,,,,,,,,
,Men Raw  Powerlifting,,,Open,,,,,,,,,,,,,
,100kg Open,,,,,,,,,,,,,,,,
1,Jovanni Nava,CA,100kg,93.4,22,167.5,177.5,-185,127.5,-135,-135,245,260,-272.5,565,358.743,
,,,,,,,,,,,,,,,,,
,Men Raw  Powerlifting,,,Open,,,,,,,,,,,,,
,110kg Open,,,,,,,,,,,,,,,,
1,Jorge Ramirez,CA,110kg,105.5,34,182.5,187.5,192.5,130,-140,-140,182.5,200,205,527.5,317.527,
2,Russel Janairo,CA,110kg,106.5,26,185,-192.5,-200,125,135,142.5,187.5,200,-215,527.5,316.339,
,,,,,,,,,,,,,,,,,
,Men Raw  Powerlifting,,,Open,,,,,,,,,,,,,
,125kg Open,,,,,,,,,,,,,,,,
1,Nathaniel Agboola,CA,125kg,115.2,32,-247.5,262.5,-275,180,187.5,195,250,265,280,737.5,429.512,
2,John Kwasniewski,CA,125kg,121.7,28,220,240,260,110,120,130,250,275,-290,665,380.146,
,,,,,,,,,,,,,,,,,
,Men Raw  Powerlifting,,,Open,,,,,,,,,,,,,
