Name,Country,State,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment,Sex,Division,Place
Tony Conyers,USA,FL,75,347.5,197.5,307.5,852.5,SBD,Multi-ply,M,Open,1
Wade Hooper,USA,TX,75,351,225,267.5,843.5,SBD,Multi-ply,M,Open,2
Jarmo Laine,Finland,,75,350,195,292.5,837.5,SBD,Multi-ply,M,Open,3
Brian Schwab,USA,FL,67.5,272.5,177.5,272.5,722.5,SBD,Multi-ply,M,Open,1
Rick Grayes,USA,FL,67.5,245,152.5,242.5,640,SBD,Multi-ply,M,Open,2
August Clark Jr,USA,LA,60,205,182.5,205,592.5,SBD,Multi-ply,M,Open,1
Matt Zweng,USA,GA,90,402.5,252.5,312.5,967.5,SBD,Multi-ply,M,Open,1
Jesse Kellum,USA,LA,90,387.5,275,282.5,945,SBD,Multi-ply,M,Open,2
Arnold Coleman,USA,OH,82.5,365,237.5,297.5,900,SBD,Multi-ply,M,Open,1
Ron Palmer,USA,IN,90,327.5,210,302.5,840,SBD,Multi-ply,M,Open,3
Curtis Warren,USA,FL,82.5,295,182.5,295,772.5,SBD,Multi-ply,M,Open,2
Brian Strickland,USA,FL,82.5,272.5,192.5,252.5,717.5,SBD,Multi-ply,M,Open,3
Ano Turtiainen,Finland,,125,460,220,405.5,1085.5,SBD,Multi-ply,M,Open,1
Mikko Hamalainen,Finland,,140,435,295,355,1085,SBD,Multi-ply,M,Open,1
Steve Goggins,USA,GA,125,442.5,242.5,365,1050,SBD,Multi-ply,M,Open,2
Beau Moore,USA,FL,140+,387.5,323.5,327.5,1038.5,SBD,Multi-ply,M,Open,1
Lee Barry,USA,GA,140,365,292.5,365,1022.5,SBD,Multi-ply,M,Open,2
Art LaBare,USA,CA,125,397.5,242.5,332.5,972.5,SBD,Multi-ply,M,Open,3
Paul Urchick,USA,MI,110,390,252.5,322.5,965,SBD,Multi-ply,M,Open,1
Travis Mash,USA,NC,100,367.5,237.5,327.5,932.5,SBD,Multi-ply,M,Open,1
Joe Ladnier,USA,MS,110,340,275,312.5,927.5,SBD,Multi-ply,M,Open,2
Paul Childress,USA,NY,140,,,,,SBD,Multi-ply,M,Open,DQ
Kenn Patterson,USA,OH,100,372.5,,,,SBD,Multi-ply,M,Open,DQ
Chuck Vogelpohl,USA,OH,100,,,,,SBD,Multi-ply,M,Open,DQ
