Place,Name,Sex,Event,Division,WeightClassKg,Equipment,BirthYear,State,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Age,BirthDate
1,Chase Starnes,M,B,MR-Jr,90,Raw,2000,SC,88,,,,,125,137.5,140,140,,,,,140,,
1,Bob Everett,M,B,MR-M4,100,Raw,1943,SC,92.65,,,,,85,87.5,90,90,,,,,90,,
1,Katelyn Dundas,F,SBD,FR-Jr,67.5,Raw,1999,SC,66.6,142.5,155,-160,155,65,70,75,75,142.5,155,-160,155,385,,
1,Lea Shoaf,F,SBD,FR-M1,90,Raw,1975,SC,87.95,-102.5,102.5,117.5,117.5,-50,50,57.5,57.5,135,145,-157.5,145,320,,
1,Pamela Baker,F,SBD,FR-M1,67.5,Raw,1982,SC,64,72.5,75,77.5,77.5,52.5,-55,55,55,102.5,105,107.5,107.5,240,,
1,Pamela Baker,F,SBD,FR-M1a,67.5,Raw,1982,SC,64,72.5,75,77.5,77.5,52.5,-55,55,55,102.5,105,107.5,107.5,240,,
1,Lea Shoaf,F,SBD,FR-M1b,90,Raw,1975,SC,87.95,-102.5,102.5,117.5,117.5,-50,50,57.5,57.5,135,145,-157.5,145,320,,
1,Mary Dechene,F,SBD,FR-M2,75,Raw,1966,NC,72.8,62.5,72.5,82.5,82.5,57.5,60,62.5,62.5,112.5,125,130,130,275,,
1,Karen Baldwin,F,SBD,FR-M3,60,Raw,1956,NC,58.7,-65,65,70,70,40,-42.5,42.5,42.5,95,97.5,-100,97.5,210,,
1,Alex Hubelbank,F,SBD,FR-O,75,Raw,1991,MA,74.5,117.5,125,130,130,85,90,-95,90,190,205,212.5,212.5,432.5,,
1,Alexandria Greenlee,F,SBD,FR-O,90,Raw,1995,SC,83.8,100,105,112.5,112.5,60,62.5,65,65,140,142.5,145,145,322.5,,
2,Lea Shoaf,F,SBD,FR-O,90,Raw,1975,SC,87.95,-102.5,102.5,117.5,117.5,-50,50,57.5,57.5,135,145,-157.5,145,320,,
1,Donielle Chapman,F,SBD,FR-O,100+,Raw,1991,SC,101.55,132.5,142.5,150,150,80,-92.5,-92.5,80,135,145,152.5,152.5,382.5,,
1,Pamela Baker,F,SBD,FR-O,67.5,Raw,1982,SC,64,72.5,75,77.5,77.5,52.5,-55,55,55,102.5,105,107.5,107.5,240,,
1,Stephanie Beynon,F,SBD,FR-T3,90,Raw,2004,SC,83.55,57.5,67.5,80,80,35,40,-45,40,102.5,110,117.5,117.5,237.5,,
1,Quantez Ancrum,M,SBD,MR-Jr,75,Raw,1998,SC,71.8,147.5,157.5,-175,157.5,107.5,117.5,130,130,155,185,220,220,507.5,,
2,Ramneek Chhatwal,M,SBD,MR-Jr,75,Raw,1999,SC,72.7,152.5,162.5,170,170,102.5,110,-115,110,180,192.5,202.5,202.5,482.5,,
1,Andrew Lawton,M,SBD,MR-Jr,90,Raw,2000,SC,87.2,182.5,190,195,195,102.5,112.5,-115,112.5,217.5,-220,-220,217.5,525,,
1,Jack List,M,SBD,MR-Jr,100,Raw,1999,SC,99.2,227.5,245,-262.5,245,145,160,-175,160,230,250,265,265,670,,
2,Alan Swavely,M,SBD,MR-Jr,100,Raw,2001,SC,97.75,180,187.5,192.5,192.5,110,115,-127.5,115,230,242.5,252.5,252.5,560,,
1,Seth Morgan,M,SBD,MR-Jr,82.5,Raw,1999,SC,81.8,220,230,-240,230,127.5,-137.5,-137.5,127.5,227.5,240,-250,240,597.5,,
1,Jacob Pepe,M,SBD,MR-M1,110,Raw,1974,NC,108.75,-175,175,185,185,132.5,142.5,145,145,185,225,230,230,560,,
1,Shayne Foreman,M,SBD,MR-O,75,Raw,1990,SC,72.65,130,137.5,150,150,102.5,107.5,112.5,112.5,155,165,175,175,437.5,,
1,Ethan Marshall,M,SBD,MR-O,90,Raw,2003,VA,88.15,250,270,282.5,282.5,182.5,192.5,197.5,197.5,-250,-265,265,265,745,,
DQ,Wade Meyers,M,SBD,MR-O,90,Raw,1997,SC,86.35,-167.5,-182.5,-182.5,,102.5,112.5,120,120,170,185,-197.5,185,,,
1,Jack List,M,SBD,MR-O,100,Raw,1999,SC,99.2,227.5,245,-262.5,245,145,160,-175,160,230,250,265,265,670,,
2,Alan Swavely,M,SBD,MR-O,100,Raw,2001,SC,97.75,180,187.5,192.5,192.5,110,115,-127.5,115,230,242.5,252.5,252.5,560,,
